QC_STATUS	CD14_S3
LOW_PHRED	35311
LOW_COMLPEXITY	6828
LENGTH_SHORTER_THAN_18	1898907
ADAPTER_NOT_DETECTED	33373394
ADAPTER_REMOVED_LENGTH_OK	0
