LENGTH	CD14_S3
0	26
1	161
2	51
3	31
4	40
5	39
6	80
7	2235
8	5282
9	19373
10	66420
11	105865
12	146170
13	196169
14	232087
15	273744
16	438886
17	415764
18	5391163
19	7712470
20	20308384
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
