LENGTH	CD4_S3
0	79
1	184
2	120
3	77
4	79
5	94
6	105
7	9689
8	15647
9	20961
10	54724
11	98409
12	118112
13	128448
14	139523
15	159416
16	219606
17	330542
18	4034460
19	6964058
20	18706799
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
