QC_STATUS	CD4_S3
LOW_PHRED	31321
LOW_COMLPEXITY	2944
LENGTH_SHORTER_THAN_18	1293636
ADAPTER_NOT_DETECTED	29673231
ADAPTER_REMOVED_LENGTH_OK	0
