DISTINCT_MIRNA_HAIRPINS_ACCUMULATED_COUNT	CD4_S3
0	0
1	2
2	2
3	4
4	8
5	14
6	14
7	14
8	18
9	18
10	20
11	20
12	20
13	20
14	20
15	20
16	24
17	30
18	46
19	46
20	46
21	59
22	59
23	69
24	69
25	80
26	123
27	139
28	139
29	139
30	139
31	139
32	140
33	150
34	150
35	163
36	169
37	181
38	181
39	199
40	210
41	210
42	217
43	217
44	235
45	235
46	276
47	288
48	288
49	304
50	304
51	328
52	364
53	364
54	454
55	504
56	506
57	506
58	583
59	606
60	625
61	906
62	915
63	975
64	979
65	979
66	990
67	990
68	990
69	990
70	990
71	993
72	993
73	993
74	1021
75	1021
76	1143
77	1202
78	1295
79	1295
80	1431
81	1641
82	1719
83	1719
84	2002
85	2002
86	2045
87	2259
88	2539
89	2602
90	2703
91	2794
92	2958
93	2958
94	2958
95	2986
96	3087
97	3087
98	3087
99	3708
100	3708
101	3859
102	3859
103	3859
104	3859
105	3859
106	3859
107	3859
108	3859
109	3859
110	3890
111	3890
112	4606
113	4845
114	5082
115	5894
116	6149
117	6256
118	6256
119	6377
120	6663
121	6663
122	6663
123	7093
124	7175
125	7225
126	7272
127	7474
128	7852
129	8079
130	9539
131	9975
132	9975
133	10130
134	10190
135	10946
136	11036
137	11091
138	11813
139	11813
140	11813
141	12117
142	12117
143	12117
144	13892
145	14064
146	14064
147	15117
148	16302
149	16803
150	16937
151	16937
152	17019
153	17717
154	18603
155	18603
156	18839
157	21287
158	21287
159	22217
160	24479
161	25014
162	27501
163	30188
164	30188
165	30754
166	31931
167	32261
168	33164
169	33164
170	38808
171	38808
172	38808
173	39426
174	39426
175	41441
176	43457
177	43457
178	43819
179	43819
180	43819
181	43819
182	43819
183	44209
184	44209
185	44209
186	44209
187	45893
188	45893
189	45893
190	45893
191	45893
192	46990
193	48611
194	50449
195	52579
196	52938
197	53590
198	53590
199	53590
200	53590
201	53590
202	53590
203	53746
204	56338
205	60820
206	62379
207	64965
208	65131
209	65131
210	65516
211	68660
212	68660
213	69853
214	70429
215	70850
216	73128
217	73390
218	74246
219	75877
220	77362
221	80312
222	83632
223	83993
224	86449
225	87709
226	89363
227	89557
228	89557
229	89557
230	89557
231	89557
232	89557
233	91905
234	92611
235	94939
236	95397
237	99857
238	101672
239	104974
240	105573
241	120667
242	128935
243	129414
244	129414
245	129830
246	135725
247	139386
248	144252
249	148386
250	152013
251	152525
252	152621
253	154951
254	156412
255	159617
256	159745
257	171369
258	174031
259	175443
260	177704
261	178411
262	178411
263	182658
264	183000
265	184203
266	188259
267	188259
268	188259
269	188259
270	188259
271	188259
272	188259
273	188259
274	188259
275	189478
276	194598
277	194637
278	198285
279	199243
280	201132
281	202469
282	208785
283	215542
284	215542
285	216506
286	216907
287	219342
288	223687
289	229497
290	230981
291	230981
292	230981
293	231053
294	231053
295	231431
296	232791
297	232791
298	233999
299	233999
300	234725
301	241469
302	241469
303	241469
304	241469
305	241469
306	242912
307	243037
308	245635
309	245635
310	254643
311	255779
312	255779
313	258374
314	260480
315	269827
316	272931
317	272931
318	272931
319	272931
320	272931
321	272931
322	272931
323	272931
324	272931
325	272931
326	272931
327	276563
328	277077
329	277077
330	277583
331	281920
332	286135
333	292783
334	299346
335	305491
336	315599
337	315599
338	315599
339	315599
340	317810
341	322765
342	322765
343	324562
344	324562
345	326146
346	328108
347	332285
348	333724
349	333724
350	333724
351	339952
352	348310
353	351413
354	352002
355	353605
356	357881
357	357881
358	357881
359	367191
360	367191
361	374578
362	380016
363	381965
364	386556
365	386883
366	406541
367	408496
368	410676
369	410846
370	411613
371	418843
372	418843
373	421283
374	433282
375	436348
376	437484
377	459491
378	460066
379	466011
380	471815
381	473197
382	473197
383	473197
384	473197
385	473197
386	476675
387	476675
388	486813
389	518033
390	531257
391	538365
392	544688
393	544688
394	604832
395	614128
396	625707
397	632824
398	637533
399	637533
400	639599
401	666923
402	695084
403	697189
404	703523
405	704264
406	715943
407	725547
408	734273
409	763045
410	783491
411	789988
412	789988
413	796436
414	801945
415	810303
416	810303
417	814425
418	827285
419	827285
420	827521
421	827521
422	827521
423	827521
424	833787
425	850661
426	853819
427	856581
428	858714
429	861186
430	866486
431	892851
432	898652
433	902856
434	937499
435	943938
436	965576
437	980923
438	991559
439	1005455
440	1010944
441	1011854
442	1066193
443	1093668
444	1137358
445	1137358
446	1137358
447	1137358
448	1137358
449	1137358
450	1148641
451	1171119
452	1176056
453	1176513
454	1177745
455	1190780
456	1199370
457	1216243
458	1240863
459	1262658
460	1265727
461	1269998
462	1269998
463	1269998
464	1269998
465	1282054
466	1305974
467	1320481
468	1336041
469	1339336
470	1353544
471	1397180
472	1401731
473	1401731
474	1417509
475	1466363
476	1470769
477	1498633
478	1500180
479	1500945
480	1515484
481	1515757
482	1524407
483	1533267
484	1550001
485	1550212
486	1581544
487	1588061
488	1607915
489	1608834
490	1632694
491	1688279
492	1692401
493	1696885
494	1703571
495	1703571
496	1726330
497	1736513
498	1748015
499	1748980
500	1759868
501	1770203
502	1773476
503	1773476
504	1808626
505	1809929
506	1838014
507	1838472
508	1845479
509	1846835
510	1878469
511	1880866
512	1905384
513	2002512
514	2011408
515	2011529
516	2029235
517	2057911
518	2062894
519	2069866
520	2069866
521	2069866
522	2072177
523	2113887
524	2128592
525	2192451
526	2194281
527	2216269
528	2221088
529	2248671
530	2255759
531	2277579
532	2277678
533	2290914
534	2299439
535	2311526
536	2327400
537	2361165
538	2373593
539	2403594
540	2409590
541	2431617
542	2431782
543	2466110
544	2469614
545	2485601
546	2501496
547	2505398
548	2517854
549	2517854
550	2517854
551	2530119
552	2536988
553	2536988
554	2544931
555	2580175
556	2580175
557	2586333
558	2593151
559	2642868
560	2667679
561	2675405
562	2692815
563	2725792
564	2752017
565	2802383
566	2828425
567	2861921
568	2863287
569	2907790
570	2912548
571	2966275
572	3017389
573	3097934
574	3103874
575	3113803
576	3125215
577	3130885
578	3204113
579	3214632
580	3244140
581	3256619
582	3261483
583	3291059
584	3320341
585	3322952
586	3349442
587	3367406
588	3367566
589	3391205
590	3392767
591	3409967
592	3409967
593	3418838
594	3493966
595	3510934
596	3510934
597	3513733
598	3560608
599	3569475
600	3574135
601	3592936
602	3615233
603	3674199
604	3678516
605	3678516
606	3678516
607	3678516
608	3732134
609	3753670
610	3778058
611	3789335
612	3801574
613	3872448
614	4001086
615	4013140
616	4023145
617	4043617
618	4045842
619	4059823
620	4102848
621	4120756
622	4124628
623	4136403
624	4197855
625	4208384
626	4230237
627	4258664
628	4309037
629	4354677
630	4366548
631	4366548
632	4398007
633	4428512
634	4534714
635	4559300
636	4559300
637	4861198
638	4890799
639	4918011
640	4997886
641	5079397
642	5118628
643	5281016
644	5336985
645	5476005
646	5476005
647	5547513
648	5549900
649	5561053
650	5650908
651	5792427
652	5821400
653	5823729
654	5823729
655	5856433
656	5878224
657	5890051
658	5912070
659	5961447
660	5997707
661	6023004
662	6053864
663	6103792
664	6104743
665	6237670
666	6257958
667	6258370
668	6283045
669	6310424
670	6314364
671	6336773
672	6337560
673	6350412
674	6357928
675	6453730
676	6453730
677	6468805
678	6491473
679	6684278
680	6834642
681	6841241
682	6915080
683	6941504
684	7125614
685	7137121
686	7137121
687	7148667
688	7166787
689	7166787
690	7188816
691	7206583
692	7263309
693	7276741
694	7276741
695	7276741
696	7422330
697	7422330
698	7580462
699	7601325
700	7702784
701	7804358
702	7848952
703	7851960
704	7897801
705	7927292
706	7952281
707	7991216
708	7991216
709	8414323
710	8468060
711	8476370
712	8516233
713	8578215
714	8670637
715	8710930
716	8816583
717	8816583
718	8866655
719	8936170
720	8959327
721	8984487
722	8992958
723	8993891
724	8993891
725	8993891
726	9161163
727	9224761
728	9227731
729	9268010
730	9477504
731	9506121
732	9519741
733	9697363
734	9705445
735	9705445
736	9735874
737	9815861
738	9815861
739	9920411
740	10063447
741	10161624
742	10356367
743	10393109
744	10525816
745	10530625
746	10565184
747	10591322
748	10683466
749	10739317
750	10891717
751	11055277
752	11059439
753	11222205
754	11266070
755	11294661
756	11294661
757	11317915
758	11576336
759	11614306
760	11629076
761	11639319
762	11688138
763	11791866
764	11822633
765	12041087
766	12196954
767	12219834
768	12219834
769	12282882
770	12377806
771	12399902
772	12545752
773	12610174
774	12610174
775	12719012
776	12838463
777	12962700
778	13057782
779	13315220
780	13322730
781	13339619
782	13339619
783	13339619
784	13339619
785	13381677
786	13381677
787	13590934
788	13672925
789	13684135
790	13692309
791	13842090
792	13842090
793	14132923
794	14184374
795	14223436
796	14271477
797	14299143
798	14512877
799	14523084
800	14545379
801	14550401
802	14662836
803	14843947
804	14926965
805	14926965
806	14926965
807	14927613
808	15226776
809	15234405
810	15362088
811	15605452
812	15656565
813	15838762
814	16014205
815	16077829
816	16115568
817	16148085
818	16204510
819	16204510
820	16204510
821	16204510
822	16252421
823	16443666
824	16567365
825	16569491
826	16715499
827	16899604
828	17071258
829	17121099
830	17174490
831	17233968
832	17233968
833	17299228
834	17300683
835	17304835
836	17684007
837	17795176
838	17980997
839	18043244
840	18397382
841	18445879
842	18445879
843	18655688
844	18683377
845	18792171
846	18930236
847	18950279
848	18950279
849	18950279
850	18950279
851	18950279
852	19018178
853	19018738
854	19032355
855	19509912
856	19554059
857	19702273
858	19899433
859	20057413
860	20208754
861	20249789
862	20339924
863	20501891
864	20563376
865	20856691
866	20973666
867	21013521
868	21227715
869	21230958
870	21664932
871	21690370
872	21768706
873	21830226
874	21842646
875	21901389
876	21949856
877	21978047
878	22416421
879	22422547
880	22426878
881	22426878
882	22467144
883	22558323
884	22801853
885	22822027
886	22957817
887	22963992
888	23164042
889	23242535
890	23242535
891	23300015
892	23634976
893	23959340
894	23969007
895	23969007
896	24197827
897	24352106
898	24399973
899	24742413
900	24852258
901	25131714
902	25423347
903	25589970
904	25687073
905	25859343
906	25905018
907	25955474
908	26107016
909	26147272
910	26253800
911	26254492
912	26418455
913	26567963
914	26602310
915	26667886
916	27056933
917	27377133
918	28050543
919	28208876
920	28276316
921	28565150
922	28565150
923	28625321
924	28773353
925	29395157
926	29736803
927	29916386
928	30056728
929	30082223
930	30500740
931	30509605
932	30655263
933	30700619
934	30998274
