QC_STATUS	CD4_S4
LOW_PHRED	28953
LOW_COMLPEXITY	2870
LENGTH_SHORTER_THAN_18	1051509
ADAPTER_NOT_DETECTED	27638558
ADAPTER_REMOVED_LENGTH_OK	0
