DISTINCT_MIRNA_HAIRPINS_ACCUMULATED_COUNT	CD14_S1
0	0
1	0
2	0
3	0
4	1
5	2
6	4
7	6
8	6
9	6
10	6
11	6
12	6
13	6
14	6
15	11
16	12
17	12
18	15
19	15
20	25
21	43
22	47
23	52
24	64
25	69
26	72
27	72
28	72
29	92
30	92
31	105
32	105
33	118
34	118
35	118
36	118
37	119
38	122
39	127
40	127
41	146
42	146
43	146
44	190
45	208
46	208
47	208
48	228
49	228
50	246
51	246
52	246
53	246
54	246
55	254
56	262
57	270
58	270
59	327
60	327
61	327
62	327
63	327
64	327
65	327
66	327
67	327
68	356
69	356
70	369
71	386
72	410
73	413
74	448
75	462
76	509
77	551
78	551
79	597
80	658
81	658
82	687
83	687
84	687
85	738
86	754
87	768
88	778
89	858
90	874
91	900
92	932
93	935
94	935
95	975
96	1006
97	1069
98	1069
99	1280
100	1280
101	1374
102	1374
103	1463
104	2060
105	2124
106	2320
107	2320
108	2320
109	2320
110	2320
111	2359
112	2366
113	2634
114	2711
115	2751
116	3120
117	3409
118	3592
119	3592
120	3592
121	3592
122	4105
123	4195
124	4240
125	4876
126	4876
127	4903
128	5422
129	5668
130	6189
131	6213
132	6626
133	6799
134	6876
135	6876
136	7087
137	7087
138	7276
139	7712
140	7784
141	8159
142	8159
143	8159
144	8159
145	8159
146	8159
147	8831
148	8831
149	8831
150	8831
151	8831
152	9020
153	9020
154	9592
155	9694
156	9840
157	9846
158	9995
159	10155
160	10155
161	10458
162	10458
163	10458
164	11124
165	12841
166	12848
167	13168
168	13569
169	13569
170	13738
171	15103
172	15121
173	15163
174	15163
175	15163
176	15448
177	15448
178	15448
179	15448
180	15448
181	15624
182	15837
183	15895
184	16360
185	16715
186	16870
187	17042
188	17538
189	18071
190	18199
191	18395
192	18395
193	18523
194	18690
195	19815
196	19815
197	20222
198	20222
199	20222
200	20452
201	20821
202	21187
203	25405
204	26135
205	26538
206	26953
207	27468
208	27584
209	27614
210	28885
211	29687
212	30995
213	31614
214	31614
215	32990
216	32990
217	33764
218	33764
219	34001
220	34578
221	35300
222	35300
223	35300
224	35300
225	35300
226	35300
227	35519
228	41109
229	41728
230	41728
231	42506
232	42506
233	43947
234	45362
235	45855
236	47909
237	48234
238	48701
239	49504
240	50169
241	51912
242	52038
243	54208
244	54251
245	55519
246	55519
247	55519
248	55519
249	55519
250	55519
251	55519
252	56703
253	59870
254	61109
255	61977
256	61977
257	63082
258	64547
259	68841
260	69761
261	70145
262	74425
263	74652
264	74652
265	75364
266	76733
267	76733
268	76733
269	79509
270	79509
271	79509
272	79509
273	79509
274	79509
275	79509
276	79509
277	79509
278	79509
279	79906
280	81072
281	81164
282	82600
283	85954
284	86451
285	86451
286	88159
287	88353
288	89126
289	91448
290	91448
291	93010
292	93041
293	93041
294	93041
295	94261
296	96631
297	97256
298	99394
299	107795
300	111236
301	112489
302	118439
303	118799
304	118799
305	123022
306	124392
307	124395
308	125081
309	125086
310	125192
311	126073
312	126529
313	126529
314	126529
315	127350
316	132769
317	135515
318	135783
319	135915
320	138375
321	139256
322	139256
323	142082
324	142964
325	142964
326	146892
327	146892
328	148691
329	148691
330	154836
331	156968
332	156968
333	156968
334	156968
335	159890
336	165994
337	168651
338	170069
339	172543
340	172943
341	173013
342	173359
343	173359
344	173359
345	173445
346	174449
347	174449
348	174565
349	176770
350	177069
351	180145
352	180145
353	180690
354	183240
355	184896
356	187461
357	187461
358	187461
359	189391
360	191080
361	193032
362	195040
363	209039
364	209590
365	212522
366	216086
367	219125
368	224688
369	224688
370	224688
371	224688
372	224688
373	225381
374	226419
375	236416
376	239137
377	239705
378	239705
379	239705
380	239705
381	239705
382	241032
383	241032
384	241032
385	241465
386	245770
387	249968
388	250812
389	251938
390	257955
391	258081
392	263307
393	264845
394	265441
395	266939
396	266950
397	266950
398	271213
399	272342
400	275265
401	275839
402	278691
403	287493
404	289060
405	297683
406	308906
407	312608
408	317794
409	331850
410	345736
411	346760
412	347110
413	349475
414	353076
415	353102
416	360399
417	362061
418	362762
419	364211
420	367675
421	384128
422	385586
423	386463
424	387606
425	387606
426	395825
427	396215
428	396737
429	404628
430	409854
431	410486
432	413705
433	416800
434	416800
435	423096
436	423096
437	426933
