QC_STATUS	CD14_S1
LOW_PHRED	33998
LOW_COMLPEXITY	5228
LENGTH_SHORTER_THAN_18	1977402
ADAPTER_NOT_DETECTED	31489979
ADAPTER_REMOVED_LENGTH_OK	0
