QC_STATUS	CD19_S1
LOW_PHRED	31001
LOW_COMLPEXITY	6609
LENGTH_SHORTER_THAN_18	1698322
ADAPTER_NOT_DETECTED	28794104
ADAPTER_REMOVED_LENGTH_OK	0
