DISTINCT_MIRNA_HAIRPINS_ACCUMULATED_COUNT	CD19_S1
0	0
1	0
2	0
3	0
4	8
5	11
6	14
7	17
8	17
9	17
10	17
11	17
12	17
13	17
14	17
15	18
16	18
17	26
18	40
19	40
20	48
21	51
22	53
23	59
24	71
25	90
26	90
27	104
28	137
29	137
30	137
31	137
32	137
33	142
34	166
35	166
36	166
37	181
38	211
39	269
40	301
41	318
42	339
43	339
44	360
45	360
46	360
47	376
48	376
49	385
50	385
51	396
52	396
53	448
54	448
55	476
56	501
57	561
58	568
59	616
60	616
61	658
62	658
63	658
64	696
65	696
66	706
67	708
68	721
69	744
70	782
71	857
72	857
73	857
74	857
75	948
76	1015
77	1015
78	1015
79	1015
80	1057
81	1057
82	1079
83	1205
84	1205
85	1205
86	1205
87	1205
88	1233
89	1437
90	1591
91	1604
92	1624
93	1782
94	1782
95	1782
96	1782
97	1782
98	1782
99	1782
100	1782
101	1782
102	1839
103	1957
104	1957
105	1983
106	2208
107	2416
108	2448
109	2448
110	3222
111	3229
112	3229
113	3284
114	3284
115	3359
116	3361
117	3608
118	3695
119	5334
120	5334
121	5336
122	5561
123	6518
124	6518
125	8462
126	8951
127	8951
128	8951
129	9098
130	9098
131	9848
132	9871
133	9871
134	9871
135	10119
136	10550
137	10550
138	10671
139	10862
140	11087
141	11129
142	11217
143	11410
144	12648
145	12648
146	12714
147	14250
148	14250
149	14821
150	14861
151	16577
152	16845
153	17014
154	17014
155	17106
156	17302
157	17585
158	17585
159	17585
160	17585
161	17585
162	17585
163	18968
164	19047
165	19255
166	19255
167	19829
168	20098
169	21879
170	23563
171	23563
172	24101
173	24701
174	25385
175	25946
176	26678
177	26679
178	28651
179	30135
180	31739
181	31935
182	33141
183	33141
184	33141
185	33141
186	33141
187	33824
188	33824
189	37776
190	38061
191	38061
192	38061
193	38061
194	38061
195	38541
196	38541
197	39172
198	39780
199	40062
200	40750
201	43104
202	43104
203	43104
204	43104
205	43104
206	43104
207	43104
208	45199
209	48917
210	52302
211	52302
212	52848
213	54062
214	54345
215	55488
216	56072
217	56750
218	58094
219	60409
220	61075
221	61976
222	63365
223	66042
224	66284
225	66284
226	66284
227	67230
228	67230
229	67970
230	68795
231	68795
232	69749
233	69797
234	70571
235	72036
236	73624
237	75844
238	76451
239	77549
240	78132
241	78455
242	79408
243	80794
244	85873
245	85873
246	90561
247	93498
248	95375
249	95375
250	95693
251	98127
252	98127
253	98578
254	100207
255	100207
256	101157
257	101157
258	103959
259	106498
260	112915
261	117301
262	121206
263	122228
264	123426
265	129065
266	129065
267	129065
268	129065
269	130520
270	130520
271	132808
272	134052
273	135908
274	135908
275	135908
276	135934
277	135934
278	135934
279	135934
280	135934
281	135934
282	135934
283	135934
284	135934
285	135934
286	135934
287	135934
288	135934
289	135934
290	135934
291	135934
292	135934
293	139504
294	139780
295	139780
296	139780
297	139780
298	139780
299	142056
300	142056
301	146189
302	146420
303	146420
304	146420
305	148689
306	149666
307	150190
308	151551
309	152950
310	153322
311	155163
312	156749
313	158078
314	161993
315	162774
316	163762
317	165152
318	165152
319	165152
320	166822
321	168346
322	169843
323	171859
324	172919
325	173038
326	177238
327	180776
328	181832
329	183370
330	189187
331	191103
332	193278
333	198017
334	200951
335	205302
336	206045
337	206045
338	208549
339	211142
340	216502
341	221718
342	227090
343	227944
344	231961
345	235943
346	236834
347	245875
348	246709
349	252938
350	277250
351	281544
352	282913
353	287254
354	287899
355	290903
356	291324
357	301547
358	302995
359	318155
360	318155
361	318155
362	318155
363	331945
364	338432
365	355045
366	355045
367	355621
368	355621
369	355621
370	355621
371	358047
372	360945
373	364106
374	367876
375	374599
376	378688
377	383063
378	383628
379	384998
380	385260
381	391303
382	391303
383	401345
384	411661
385	418562
386	419151
387	421071
388	444259
389	444259
390	454526
391	466440
392	466440
393	468730
394	475769
395	476843
396	476843
397	487872
398	489757
399	513706
400	520779
401	531003
402	532404
403	532404
404	535650
405	541145
406	541145
407	544001
408	545745
409	546038
410	549822
411	556860
412	556860
413	567726
414	571362
415	573055
416	580885
417	586597
418	599451
419	612670
420	615387
421	615387
422	615387
423	615387
424	615904
425	627093
426	647052
427	647052
428	653519
429	653519
430	653519
431	655029
432	664096
433	666436
