LENGTH	CD4_S1
0	110
1	262
2	101
3	78
4	63
5	90
6	96
7	6687
8	6925
9	20059
10	69828
11	128434
12	137247
13	160407
14	191916
15	193776
16	263997
17	395439
18	3521395
19	7271507
20	15939122
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
