QC_STATUS	CD4_S1
LOW_PHRED	28421
LOW_COMLPEXITY	3265
LENGTH_SHORTER_THAN_18	1572868
ADAPTER_NOT_DETECTED	26702985
ADAPTER_REMOVED_LENGTH_OK	0
