LENGTH	CD14_S4
0	46
1	180
2	64
3	48
4	107
5	39
6	74
7	3135
8	7232
9	20641
10	60355
11	93922
12	138989
13	171829
14	201139
15	253631
16	404369
17	456201
18	4593449
19	9169207
20	21276628
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
