QC_STATUS	CD14_S4
LOW_PHRED	36503
LOW_COMLPEXITY	7806
LENGTH_SHORTER_THAN_18	1808549
ADAPTER_NOT_DETECTED	34998427
ADAPTER_REMOVED_LENGTH_OK	0
