QC_STATUS	CD19_S4
LOW_PHRED	25139
LOW_COMLPEXITY	3325
LENGTH_SHORTER_THAN_18	920899
ADAPTER_NOT_DETECTED	24112272
ADAPTER_REMOVED_LENGTH_OK	0
