CLADE	CD19_S4
bryophytes	0
lycopods	0
gymnosperms	0
monocots	0
dicots	0
sponges	0
nematode	0
insects	0
lophotrochozoa	0
echinoderms	0
fish	0
birds_reptiles	0
rodents	1
primates	791
