QC_STATUS	CD56_S1
LOW_PHRED	31090
LOW_COMLPEXITY	8172
LENGTH_SHORTER_THAN_18	1692948
ADAPTER_NOT_DETECTED	29005201
ADAPTER_REMOVED_LENGTH_OK	0
