LENGTH	CD56_S1
0	256
1	821
2	197
3	148
4	134
5	168
6	179
7	9605
8	7259
9	24201
10	77255
11	120705
12	155679
13	180772
14	202009
15	213716
16	292501
17	410976
18	4165900
19	6696255
20	18178675
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
