miRNA	CD56_S4	CD14_S2	CD4_S4	CD14_S1	CD56_S1	CD19_S4	CD19_S3	CD19_S1	CD4_S3	CD14_S4	CD56_S3	CD56_S2	CD4_S1	CD19_S2	CD4_S2	CD14_S3
hsa-miR-4451	4	5	3	10	3	6	11	2	6	3	3	6	2	0	0	12
hsa-miR-141-5p	0	0	1	0	0	0	2	0	2	3	2	0	1	1	0	1
hsa-miR-1250-5p	21	61	16	55	72	3	2	4	0	125	20	33	9	1	0	105
hsa-miR-3605-3p	72	309	126	172	83	44	61	36	55	397	91	97	87	32	77	392
hsa-miR-509-5p	3	2	20	8	9	1	5	1	13	0	2	7	43	2	9	2
hsa-miR-24-2-5p	1429	3806	966	3656	1971	227	413	185	624	3460	1783	2605	927	312	674	4468
hsa-miR-24-1-5p	23	9	9	16	63	11	24	33	18	19	41	47	11	25	20	30
hsa-miR-6734-3p	2	8	2	2	8	3	2	1	2	1	3	2	3	1	2	6
hsa-miR-4265	0	3	3	6	8	2	1	1	3	9	3	3	1	3	5	3
hsa-miR-3909	35	267	110	140	59	20	20	10	22	472	54	91	28	25	25	341
hsa-miR-3615	639	967	852	264	1020	348	196	223	202	1579	1383	1454	328	352	190	1050
hsa-miR-4632-3p	0	0	1	0	3	1	1	3	0	0	0	0	2	1	1	1
hsa-miR-7156-3p	4	1	1	0	4	2	3	3	4	1	3	2	1	1	1	1
hsa-miR-486-5p	1471	1013	1062	259	572	1371	5025	1276	861	2313	798	1411	1199	3025	460	1730
hsa-miR-4314	1	3	2	2	1	1	2	1	1	6	1	1	3	2	1	5
hsa-miR-146a-3p	34	3	38	25	74	15	21	22	42	36	49	71	87	15	30	29
hsa-miR-3194-3p	14	2	0	3	29	3	4	7	6	1	20	35	2	8	8	2
hsa-miR-326	38	162	60	94	127	20	16	6	13	266	47	114	33	17	13	176
hsa-miR-7162-3p	1	3	2	5	5	1	3	3	1	2	2	3	3	4	1	3
hsa-miR-4326	77	194	100	122	125	29	27	26	35	404	105	165	70	30	24	288
hsa-miR-3652	4	18	4	7	8	12	9	30	9	24	3	18	18	15	15	10
hsa-miR-516a-5p	0	0	1	0	0	0	1	1	2	0	1	1	0	0	0	1
hsa-miR-3116	4	10	1	9	5	1	14	1	10	1	6	10	9	1	3	9
hsa-miR-4470	1	5	3	5	1	0	1	1	0	1	4	0	1	0	1	5
hsa-miR-596	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-3944-3p	1	3	3	6	5	0	3	4	2	1	2	4	4	2	2	1
hsa-miR-6746-5p	10	6	2	6	5	3	11	4	5	5	4	7	2	1	1	17
hsa-miR-6506-5p	3	11	3	12	2	1	5	3	3	4	0	3	5	1	0	7
hsa-miR-4283	1	3	1	5	1	0	2	1	0	3	1	3	1	0	1	4
hsa-miR-320d	156	192	119	121	172	103	153	244	168	208	151	377	289	190	243	205
hsa-miR-7975	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
hsa-miR-4780	0	3	0	6	0	2	1	3	0	3	0	0	0	0	1	1
hsa-miR-3158-5p	1	0	0	1	2	0	3	1	1	1	2	1	0	0	0	2
hsa-miR-874-3p	183	38	98	19	224	45	75	46	201	60	130	358	185	69	175	52
hsa-miR-6745	2	1	1	6	4	1	1	1	0	2	3	0	1	0	0	3
hsa-miR-502-3p	135	956	463	475	177	94	96	74	72	1231	222	328	211	125	69	1453
hsa-miR-1298-3p	0	2	1	0	0	0	1	0	1	2	1	0	1	0	0	5
hsa-miR-1204	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
