Sample	Unique Reads	Duplicate Reads
CD14_S1	1309506.0	32197101.0
CD14_S2	926954.0	35287345.0
CD14_S3	933775.0	34380665.0
CD14_S4	951850.0	35899435.0
CD19_S1	717995.0	29812041.0
CD19_S2	543563.0	27895046.0
CD19_S3	626767.0	30200168.0
CD19_S4	434391.0	24627244.0
CD4_S1	681323.0	27626216.0
CD4_S2	472216.0	29427457.0
CD4_S3	567392.0	30433740.0
CD4_S4	546858.0	28175032.0
CD56_S1	930098.0	29807313.0
CD56_S2	823790.0	31450390.0
CD56_S3	601802.0	27679022.0
CD56_S4	510151.0	29433226.0
