Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
CD19_S1.raw - illumina_universal_adapter	(1, 0.04135345108895524)	(2, 0.14268437053277735)	(3, 0.17778535678591037)	(4, 0.20357596095781386)	(5, 0.22877450030135124)	(6, 0.2568943265452884)	(7, 0.2860616521009502)	(8, 0.34218744596798484)	(9, 0.43452678746892837)	(10, 0.7136398105952083)	(12, 1.3907960659699452)	(14, 2.4120981355911084)	(16, 3.720393871452381)	(18, 5.71876393649851)	(20, 11.439191835413004)	(22, 28.298441142103464)	(24, 41.87431524205513)	(26, 43.3566324940077)	(28, 46.78491719404082)	(30, 50.73315680475885)	(32, 51.570598346896446)	(34, 52.24207468364301)	(36, 52.91814765556804)	(38, 54.003670866997936)	(40, 55.11409821190892)	(42, 55.68916394818366)	(44, 56.40341696877967)	(46, 57.112043746954484)	(48, 57.40293137802731)	(50, 57.774383742654535)	(52, 58.13691447106311)	(54, 58.39175934243329)	(56, 58.64831697277123)	(58, 59.19073130969262)	(60, 60.57791480427849)	(62, 68.96766372877809)	(64, 75.61885820167726)	(66, 78.68158028088402)	(68, 85.14548708181233)	(70, 88.72684168515053)	(72, 95.06445975694697)	(74, 95.4786855523202)	(76, 96.10707616038931)	(78, 96.59707161482787)	(80, 96.78606553955957)	(82, 96.85874475034497)	(84, 96.95023503184478)	(86, 97.06246222130297)	(88, 97.17712923835057)	(90, 97.26437909949998)	(92, 97.32094243578138)	(94, 97.35845234514113)	(96, 97.3835972082777)	(98, 97.39951627002281)	(100, 97.4151620710779)	(102, 97.42901378557892)	(104, 97.44179685559575)	(106, 97.45426112147423)	(108, 97.46650905597312)	(110, 97.47646192598623)	(112, 97.48584387634341)	(114, 97.49479316394141)	(116, 97.5021012608476)	(118, 97.50920929189144)	(120, 97.51545525052036)	(122, 97.52205417087387)	(124, 97.53721851261798)	(126, 97.5525129785002)	(128, 97.56328075092819)	(130, 97.5743038919772)	(132, 97.58364517854122)	(134, 97.59228379475948)	(136, 97.60037751614946)	(138, 97.60932192409228)
CD19_S1.raw - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0015582365537767115)	(4, 0.0017046262091419558)	(5, 0.0017404103471201267)	(6, 0.0017631820712880537)	(7, 0.0017729413816457366)	(8, 0.0017859537954559804)	(9, 0.0017957131058136634)	(10, 0.001797339657539944)	(12, 0.0017989662092662245)	(14, 0.0017989662092662245)	(16, 0.0017989662092662245)	(18, 0.0017989662092662245)	(20, 0.0017989662092662245)	(22, 0.0017989662092662245)	(24, 0.0017989662092662245)	(26, 0.0017989662092662245)	(28, 0.0017989662092662245)	(30, 0.0017989662092662245)	(32, 0.0017989662092662245)	(34, 0.0017989662092662245)	(36, 0.0017989662092662245)	(38, 0.0017989662092662245)	(40, 0.0017989662092662245)	(42, 0.0018087255196239074)	(44, 0.0018087255196239074)	(46, 0.0018119786230764686)	(48, 0.0018331237955181148)	(50, 0.0018461362093283589)	(52, 0.0018575220714123221)	(54, 0.001899812416295615)	(56, 0.0019372231060000664)	(58, 0.001959994830167993)	(60, 0.0020836127613653105)	(62, 0.0028139344864652515)	(64, 0.004019209315639097)	(66, 0.010923921393699786)	(68, 0.0745074549257305)	(70, 0.11543312291067398)	(72, 0.14532589053625686)	(74, 0.27344449036019236)	(76, 0.336610000098569)	(78, 0.3944843370713552)	(80, 0.5105388027414683)	(82, 0.7983896617413271)	(84, 1.4776604343602284)	(86, 2.4654766835924553)	(88, 3.7831234653281145)	(90, 5.737038245143271)	(92, 10.64290042539858)	(94, 25.818802072630284)	(96, 41.50542794950026)	(98, 43.49917372798857)	(100, 46.57321823376196)	(102, 50.809193218307286)	(104, 52.22153946809872)	(106, 52.93892034766437)	(108, 53.66812300517663)	(110, 54.79622934080055)	(112, 55.933769676436896)	(114, 56.604422978009964)	(116, 57.36083459279944)	(118, 58.09062768858834)	(120, 58.43971334042749)	(122, 58.83963198681634)	(124, 59.223303008011385)	(126, 59.49121396939877)	(128, 59.77743339701717)	(130, 60.36120281157924)	(132, 61.84136325594277)	(134, 69.56996444715767)	(136, 76.75180678179031)	(138, 80.11154045931934)
CD19_S2.raw - illumina_universal_adapter	(1, 0.0763244618333296)	(2, 0.28471252715272327)	(3, 0.34879443388541476)	(4, 0.3937952251597739)	(5, 0.4355403881579394)	(6, 0.47536002983339365)	(7, 0.5116559326687325)	(8, 0.574529600886088)	(9, 0.6947336643628309)	(10, 1.0136964455677233)	(12, 1.6279203377357436)	(14, 2.441129274731328)	(16, 3.4285125835255807)	(18, 4.9642969000673585)	(20, 9.380218907052509)	(22, 23.028193914969606)	(24, 33.939080405139435)	(26, 35.24654942574721)	(28, 37.89399848430483)	(30, 40.932875038366795)	(32, 41.75229578375246)	(34, 42.47419566395579)	(36, 43.050574183146324)	(38, 43.885153621259704)	(40, 44.72177696717857)	(42, 45.211592334753796)	(44, 45.95426207877263)	(46, 46.642409624542495)	(48, 46.92807098453507)	(50, 47.27461781622553)	(52, 47.60769470354545)	(54, 47.865268870500685)	(56, 48.13470605942061)	(58, 48.787363775024595)	(60, 50.40997238983485)	(62, 60.31904634813391)	(64, 68.75487190843711)	(66, 73.07323648970848)	(68, 81.24442125462164)	(70, 86.86364610519789)	(72, 92.42791873603628)	(74, 93.15145687624381)	(76, 94.53555328880262)	(78, 95.6141760152816)	(80, 96.01351973633241)	(82, 96.15669077746666)	(84, 96.3258319827699)	(86, 96.45402539285597)	(88, 96.60978370267304)	(90, 96.75059746001801)	(92, 96.84300507373128)	(94, 96.90420740336833)	(96, 96.94570360655715)	(98, 96.9722761490061)	(100, 96.99921603774717)	(102, 97.0210966453275)	(104, 97.04020561642884)	(106, 97.0586251603658)	(108, 97.07669476778753)	(110, 97.09181167705073)	(112, 97.10643763060597)	(114, 97.12270358514311)	(116, 97.136338922394)	(118, 97.1490863610241)	(120, 97.1594068767574)	(122, 97.17014696811347)	(124, 97.1993640556702)	(126, 97.22727018702801)	(128, 97.2452718963199)	(130, 97.2631308454414)	(132, 97.27950648157288)	(134, 97.2965332433596)	(136, 97.31295762686635)	(138, 97.3318646445559)
CD19_S2.raw - polya	(1, 0.0007799580041362148)	(2, 0.0009227181745361469)	(3, 0.0010828881218141197)	(4, 0.0015599160082724296)	(5, 0.003593377947627561)	(6, 0.00568603312836803)	(7, 0.007507095789811067)	(8, 0.010264804447292684)	(9, 0.013635337250881327)	(10, 0.020684555908799928)	(12, 0.040509068839824657)	(14, 0.06119014279324897)	(16, 0.08056896543619586)	(18, 0.08571181352596903)	(20, 0.0878479931489046)	(22, 0.08898485157904065)	(24, 0.08978918327080612)	(26, 0.09049079727899115)	(28, 0.0912376767070591)	(30, 0.09194625462599534)	(32, 0.09247551184308778)	(34, 0.09289334648816075)	(36, 0.09352532138883361)	(38, 0.09550133106449121)	(40, 0.09925139700402114)	(42, 0.09948120605881128)	(44, 0.09958392374239171)	(46, 0.099714497068977)	(48, 0.09982417866330867)	(50, 0.09991819145845009)	(52, 0.10003309598584516)	(54, 0.10010969900410854)	(56, 0.10020893473231338)	(58, 0.10027509188444991)	(60, 0.1003534358804011)	(62, 0.10044048476479131)	(64, 0.10049271409542543)	(66, 0.10056235320293759)	(68, 0.10064592013195217)	(70, 0.10071033630640093)	(72, 0.10080086714616673)	(74, 0.10093492242812765)	(76, 0.10107245966546417)	(78, 0.10118736419285923)	(80, 0.10127963601031285)	(82, 0.10139976347077134)	(84, 0.10148681235516155)	(86, 0.10157386123955174)	(88, 0.10165220523550292)	(90, 0.10176710976289799)	(92, 0.1018123751827809)	(94, 0.10186286353572721)	(96, 0.10191335188867354)	(98, 0.1019464304647418)	(100, 0.10199169588462471)	(102, 0.10201781054994177)	(104, 0.10204218423757103)	(106, 0.10207526281363931)	(108, 0.10210834138970759)	(110, 0.10218494440797096)	(112, 0.10221454102866362)	(114, 0.1022441376493563)	(116, 0.10225632449317093)	(118, 0.1022876620915514)	(120, 0.10231203577918066)	(122, 0.10232074066761968)	(124, 0.10232944555605869)	(126, 0.10234337337756114)	(128, 0.10236948804287818)	(130, 0.10240604857432208)	(132, 0.10242519932888791)	(134, 0.10244609106114157)	(136, 0.10246350083801961)	(138, 0.10247916963720985)
CD19_S2.raw - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0017200859555504024)	(4, 0.0018767739474527668)	(5, 0.0019290032780868885)	(6, 0.0019464130549649288)	(7, 0.0019533769657161452)	(8, 0.001974268697969794)	(9, 0.001988196519472226)	(10, 0.0020021243409746583)	(12, 0.0020090882517258745)	(14, 0.0020125702071014826)	(16, 0.0020125702071014826)	(18, 0.0020125702071014826)	(20, 0.0020125702071014826)	(22, 0.0020143111847892867)	(24, 0.0020160521624770908)	(26, 0.002017793140164895)	(28, 0.002023016073228307)	(30, 0.002023016073228307)	(32, 0.002024757050916111)	(34, 0.002026498028603915)	(36, 0.002026498028603915)	(38, 0.002026498028603915)	(40, 0.0020352029170429354)	(42, 0.002527899602691482)	(44, 0.002527899602691482)	(46, 0.0025557552456963468)	(48, 0.002679364661530434)	(50, 0.002736816925227968)	(52, 0.00279775114430111)	(54, 0.0029196195824473933)	(56, 0.0030501929090326974)	(58, 0.0032138448116862776)	(60, 0.004373335951763776)	(62, 0.011210155331770284)	(64, 0.024911649734788162)	(66, 0.06076360325973698)	(68, 0.21514479972576117)	(70, 0.30451440737380653)	(72, 0.37061584822435073)	(74, 0.6163113244156975)	(76, 0.7367539018356695)	(78, 0.8225928067328482)	(80, 0.9576056264220523)	(82, 1.2627102252320244)	(84, 1.8789083860980145)	(86, 2.661625839869399)	(88, 3.6505116124082266)	(90, 5.034773417847354)	(92, 8.169812874495182)	(94, 18.952507695556626)	(96, 33.00202353836654)	(98, 35.21685182834865)	(100, 37.37294127212195)	(102, 40.759294339959666)	(104, 42.24455722497906)	(106, 42.99117550639383)	(108, 43.62879117477519)	(110, 44.50737382394781)	(112, 45.38641435025232)	(114, 45.99252702737287)	(116, 46.74655839178231)	(118, 47.455794400284546)	(120, 47.83134243829845)	(122, 48.21119069120122)	(124, 48.56367425680709)	(126, 48.836192976234436)	(128, 49.159546503167974)	(130, 49.84727795527046)	(132, 51.52395089119777)	(134, 59.602017723501056)	(136, 69.27284062620183)	(138, 74.08282422793297)
CD19_S3.raw - illumina_universal_adapter	(1, 0.02201840785380242)	(2, 0.06843105528408701)	(3, 0.09192467386786857)	(4, 0.11065694490959492)	(5, 0.1264581626847544)	(6, 0.14619112371837034)	(7, 0.16693768687280341)	(8, 0.2094573274314144)	(9, 0.2818975987475235)	(10, 0.5099080414317937)	(12, 1.094606361644521)	(14, 1.936041383373213)	(16, 3.0492492807540685)	(18, 4.9134556488546535)	(20, 10.52481832231095)	(22, 28.105458199000118)	(24, 43.16751146960202)	(26, 44.515058366857794)	(28, 47.95437176440207)	(30, 52.096051713076356)	(32, 52.91290204132689)	(34, 53.396262745683515)	(36, 53.94446654749848)	(38, 54.970394909393164)	(40, 56.08367705151536)	(42, 56.62563461096159)	(44, 57.340498488877415)	(46, 57.99868941891385)	(48, 58.27286879259489)	(50, 58.64674916979046)	(52, 59.00133559833595)	(54, 59.24308938824754)	(56, 59.48584386815102)	(58, 59.96961291858499)	(60, 61.33928152072599)	(62, 69.13439831496717)	(64, 74.87386060549815)	(66, 77.38246290789213)	(68, 83.62166009627606)	(70, 87.16170423961682)	(72, 93.92225607172688)	(74, 94.55278276553591)	(76, 95.65114655669836)	(78, 96.40339588990796)	(80, 96.66401107215054)	(82, 96.75914763808916)	(84, 96.87576514451497)	(86, 96.9685452469243)	(88, 97.11333701867014)	(90, 97.29053823402427)	(92, 97.39720855912746)	(94, 97.47526237849485)	(96, 97.52352791642625)	(98, 97.55065952733537)	(100, 97.57389490334062)	(102, 97.59215910970872)	(104, 97.60923540021547)	(106, 97.62600179962797)	(108, 97.64251157047804)	(110, 97.65660193117029)	(112, 97.6699708266587)	(114, 97.68721174680928)	(116, 97.70143768485528)	(118, 97.71441114639529)	(120, 97.7235900560467)	(122, 97.73388909288259)	(124, 97.75532161288629)	(126, 97.77931880449827)	(128, 97.79772504428456)	(130, 97.81479003667852)	(132, 97.83201804470018)	(134, 97.84912822954537)	(136, 97.866118977198)	(138, 97.88938986155776)
CD19_S3.raw - polyg	(1, 0.0)	(2, 0.0)	(3, 0.001823838211024537)	(4, 0.0019884678548515305)	(5, 0.002036888338330058)	(6, 0.002056256531721469)	(7, 0.0020691686606490764)	(8, 0.002082080789576684)	(9, 0.002098220950736193)	(10, 0.0021095190635478495)	(12, 0.002119203160243555)	(14, 0.0021224311924754567)	(16, 0.002124045208591408)	(18, 0.002125659224707359)	(20, 0.0021272732408233095)	(22, 0.0021288872569392605)	(24, 0.0021305012730552116)	(26, 0.0021321152891711622)	(28, 0.0021337293052871133)	(30, 0.0021353433214030644)	(32, 0.002136957337519015)	(34, 0.002140185369750917)	(36, 0.002140185369750917)	(38, 0.002140185369750917)	(40, 0.002140185369750917)	(42, 0.0021724656920699354)	(44, 0.0021724656920699354)	(46, 0.0021756937243018375)	(48, 0.0021853778209975426)	(50, 0.0021918338854613464)	(52, 0.002203131998273003)	(54, 0.0022450964172877268)	(56, 0.002277376739606745)	(58, 0.0023225691908533705)	(60, 0.0026001799627969283)	(62, 0.004164161579153368)	(64, 0.006761113509718395)	(66, 0.018596693687986474)	(68, 0.10780497843270966)	(70, 0.17557428710925677)	(72, 0.19464227350310093)	(74, 0.2624422484858511)	(76, 0.30777511913456457)	(78, 0.34979280068111485)	(80, 0.43905919000601223)	(82, 0.6756594264593732)	(84, 1.263884371885453)	(86, 2.0897570502241467)	(88, 3.2273107666980057)	(90, 5.046297245277994)	(92, 9.79360607515666)	(94, 25.236450939962637)	(96, 42.59878222484051)	(98, 44.580159706894676)	(100, 47.684595426685334)	(102, 52.04797501503053)	(104, 53.44149393331692)	(106, 53.99195251564586)	(108, 54.604397386907905)	(110, 55.66583087532129)	(112, 56.774558263964266)	(114, 57.40896505251605)	(116, 58.16285099806721)	(118, 58.8286358739292)	(120, 59.15258989061006)	(122, 59.55504803715465)	(124, 59.91895863680199)	(126, 60.17106311206517)	(128, 60.45481844336216)	(130, 61.005532040237426)	(132, 62.53471224110173)	(134, 69.7076726291112)	(136, 75.8224872795355)	(138, 78.66692437123984)
CD19_S4.raw - illumina_universal_adapter	(1, 0.017543309996919002)	(2, 0.05975367334396495)	(3, 0.08402363955065778)	(4, 0.10361989007913112)	(5, 0.11868537630102129)	(6, 0.1341836875092546)	(7, 0.15175876447764836)	(8, 0.18934703347512125)	(9, 0.2788465047337354)	(10, 0.5097010573120242)	(12, 0.9241131128141649)	(14, 1.4725480355324696)	(16, 2.2571525222439286)	(18, 3.5203165070435913)	(20, 6.660104404534275)	(22, 16.150425584102283)	(24, 24.406200849297925)	(26, 25.439082087005843)	(28, 27.58470672870915)	(30, 30.07852914474696)	(32, 30.757325791218967)	(34, 31.296971190017356)	(36, 31.774958882619018)	(38, 32.57654281558372)	(40, 33.477408461585526)	(42, 33.94672178553887)	(44, 34.51961131998557)	(46, 35.168753498585914)	(48, 35.48980242492382)	(50, 35.87502857538356)	(52, 36.33662649613997)	(54, 36.72557930944084)	(56, 37.06325427447434)	(58, 37.77321233452734)	(60, 39.91078603439752)	(62, 50.61235006932546)	(64, 58.798164536155156)	(66, 63.19407606339242)	(68, 72.48737650043844)	(70, 79.17136768208599)	(72, 86.56147510567382)	(74, 89.41236225195902)	(76, 92.751450172175)	(78, 94.40071191371423)	(80, 94.93855652231716)	(82, 95.14217486772729)	(84, 95.37439341464328)	(86, 95.47790013488654)	(88, 95.83211576487977)	(90, 96.28308167737075)	(92, 96.55320616299895)	(94, 96.74179078915867)	(96, 96.88596916006817)	(98, 96.99756255998746)	(100, 97.06365374414062)	(102, 97.09853983512704)	(104, 97.12295076726964)	(106, 97.14592622938875)	(108, 97.16957078334454)	(110, 97.18993142662411)	(112, 97.20949591018112)	(114, 97.23628142344145)	(116, 97.25802790085163)	(118, 97.28146398405711)	(120, 97.29905692994696)	(122, 97.31916939376188)	(124, 97.35538175580737)	(126, 97.39406002901356)	(128, 97.43026444931618)	(130, 97.47151386177612)	(132, 97.52350646690167)	(134, 97.57548318854145)	(136, 97.62449764009125)	(138, 97.69665035948896)
CD19_S4.raw - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0015446689879586898)	(4, 0.001667766002423264)	(5, 0.0017114455882010161)	(6, 0.0017273290739383805)	(7, 0.0017312999453727217)	(8, 0.001743212559675745)	(9, 0.0017511543025444272)	(10, 0.0017551251739787682)	(12, 0.00176108148113028)	(14, 0.0017690232239989622)	(16, 0.0017710086597161328)	(18, 0.0017710086597161328)	(20, 0.0017710086597161328)	(22, 0.0017710086597161328)	(24, 0.0017710086597161328)	(26, 0.0017710086597161328)	(28, 0.0017710086597161328)	(30, 0.0017710086597161328)	(32, 0.0017710086597161328)	(34, 0.0017729940954333031)	(36, 0.0017769649668676443)	(38, 0.0017829212740191561)	(40, 0.0017829212740191561)	(42, 0.0018901348027463658)	(44, 0.0018921202384635364)	(46, 0.0019040328527665596)	(48, 0.0019179309027867538)	(50, 0.0019318289528069475)	(52, 0.001965581359998847)	(54, 0.002044998788685669)	(56, 0.002114489038786638)	(58, 0.0021720666745845846)	(60, 0.0026684256038772224)	(62, 0.0061826468232691004)	(64, 0.014626704928395459)	(66, 0.033782188727656946)	(68, 0.1239289120300687)	(70, 0.18346418744514487)	(72, 0.19755879560133865)	(74, 0.25786839094611136)	(76, 0.3054592850866895)	(78, 0.34149295791761786)	(80, 0.41603614191878624)	(82, 0.6186677257774956)	(84, 1.0232558453510765)	(86, 1.5387464332143699)	(88, 2.2876865381382943)	(90, 3.363373769908411)	(92, 5.416854339977832)	(94, 12.570516224007818)	(96, 23.191783282226233)	(98, 25.093113956981725)	(100, 26.67770410090556)	(102, 29.534867209492734)	(104, 30.819743919295373)	(106, 31.408155590178907)	(108, 31.920318587780223)	(110, 32.707764233002955)	(112, 33.611876066402345)	(114, 34.20895019331989)	(116, 34.80543861670087)	(118, 35.46766084580594)	(120, 35.866000799177584)	(122, 36.256323563123296)	(124, 36.73917755866774)	(126, 37.13513101830735)	(128, 37.5149131040306)	(130, 38.2344350079332)	(132, 40.153757701157694)	(134, 48.35555889638206)	(136, 58.128854301539796)	(138, 63.066313274992496)
CD4_S1.raw - illumina_universal_adapter	(1, 0.031040294918278352)	(2, 0.09905004825172924)	(3, 0.12189208037276174)	(4, 0.13782495100185652)	(5, 0.15394047358701676)	(6, 0.17290817671689152)	(7, 0.1923641225754797)	(8, 0.23872259403994023)	(9, 0.3227951818943017)	(10, 0.5848129254078214)	(12, 1.275219756647179)	(14, 2.261001144876511)	(16, 3.525397016858003)	(18, 5.582591947872817)	(20, 11.704022972558018)	(22, 28.296279456930773)	(24, 43.35861856953591)	(26, 44.92868073372415)	(28, 47.94184614621584)	(30, 51.32899846382679)	(32, 52.613382431115795)	(34, 54.2458869765151)	(36, 55.06513544380175)	(38, 56.093067283430806)	(40, 56.88528501748857)	(42, 57.32037953952458)	(44, 58.064205042837855)	(46, 58.77017065945013)	(48, 59.0363349536201)	(50, 59.437649401396854)	(52, 59.8178798421297)	(54, 60.083429442216755)	(56, 60.3302150663557)	(58, 60.807971114014656)	(60, 62.012469438288335)	(62, 69.75661556603525)	(64, 75.29624917885653)	(66, 77.79362829891386)	(68, 82.81399293825388)	(70, 86.62400736565088)	(72, 94.4173290200308)	(74, 94.96489148401412)	(76, 95.85062877584622)	(78, 96.45159586175298)	(80, 96.67667049088345)	(82, 96.76099949398383)	(84, 96.85855671374848)	(86, 96.93111520329549)	(88, 97.04378335988694)	(90, 97.20649639617153)	(92, 97.3060856189474)	(94, 97.36888276645777)	(96, 97.42149004234224)	(98, 97.44838027406645)	(100, 97.47134348873526)	(102, 97.48993008153373)	(104, 97.50672176761009)	(106, 97.52219976461782)	(108, 97.53747579071262)	(110, 97.5501999582289)	(112, 97.56280118692861)	(114, 97.57803857510962)	(116, 97.589982959275)	(118, 97.60052584093137)	(120, 97.60844310071928)	(122, 97.61666419501103)	(124, 97.63179620706353)	(126, 97.64629947488265)	(128, 97.65684235653902)	(130, 97.66707262234749)	(132, 97.67791406970125)	(134, 97.68864662838891)	(136, 97.69800227233083)	(138, 97.71083708478204)
CD4_S1.raw - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0017316810450052312)	(4, 0.0019108204634540483)	(5, 0.0019951213662534914)	(6, 0.002026734204803283)	(7, 0.002040784355269857)	(8, 0.0020442968928865)	(9, 0.002047809430503144)	(10, 0.002053078236928109)	(12, 0.002058347043353074)	(14, 0.0020618595809697173)	(16, 0.0020618595809697173)	(18, 0.0020618595809697173)	(20, 0.0020618595809697173)	(22, 0.0020618595809697173)	(24, 0.0020618595809697173)	(26, 0.0020618595809697173)	(28, 0.002065372118586361)	(30, 0.002065372118586361)	(32, 0.002065372118586361)	(34, 0.0020688846562030043)	(36, 0.0020688846562030043)	(38, 0.0020688846562030043)	(40, 0.0020688846562030043)	(42, 0.002079422269052935)	(44, 0.002079422269052935)	(46, 0.002079422269052935)	(48, 0.002082934806669578)	(50, 0.0020899598819028656)	(52, 0.0021040100323694395)	(54, 0.0021338666021109088)	(56, 0.0021602106342357348)	(58, 0.0021742607847023082)	(60, 0.002221680042526995)	(62, 0.0024921454390085425)	(64, 0.0028960872649225417)	(66, 0.007221777339818976)	(68, 0.048388718206880454)	(70, 0.06825563096661594)	(72, 0.09201970421201733)	(74, 0.18048998916241643)	(76, 0.21849388990569046)	(78, 0.25904262415222273)	(80, 0.3632631277756512)	(82, 0.6516389535644634)	(84, 1.357493925241819)	(86, 2.3453635170842455)	(88, 3.664226553618219)	(90, 5.864555636242448)	(92, 11.533868625332577)	(94, 27.65387145222285)	(96, 43.49989810128374)	(98, 45.3207730139884)	(100, 48.249844763400034)	(102, 51.75541877421851)	(104, 53.452740176257734)	(106, 54.99995503951851)	(108, 55.90442645072897)	(110, 56.98362728941055)	(112, 57.80143034746795)	(114, 58.29443607718956)	(116, 59.06962327261303)	(118, 59.77828124930846)	(120, 60.07966575816052)	(122, 60.508467569056315)	(124, 60.893336315711935)	(126, 61.16530859083103)	(128, 61.44085311670624)	(130, 61.967338598720886)	(132, 63.345740904125776)	(134, 70.9017836174262)	(136, 76.64158094260071)	(138, 79.30781828350295)
CD4_S2.raw - illumina_universal_adapter	(1, 0.028939611382076715)	(2, 0.13974855955509266)	(3, 0.17703255842474705)	(4, 0.20433783913648612)	(5, 0.2280024157533266)	(6, 0.2550984224158151)	(7, 0.27678652190084485)	(8, 0.3201328245781542)	(9, 0.40353683773026416)	(10, 0.63627283316902)	(12, 1.1785317910699575)	(14, 1.9142396939257411)	(16, 2.833000936385107)	(18, 4.47300691962983)	(20, 10.728588599008898)	(22, 29.11200004969428)	(24, 43.37079770650258)	(26, 44.56485231713044)	(28, 47.10416536077999)	(30, 49.96079599477373)	(32, 50.603876878164)	(34, 51.23777461696454)	(36, 51.662501282634004)	(38, 52.39789361351076)	(40, 53.15668311527476)	(42, 53.58640080092833)	(44, 54.30704097223807)	(46, 54.91758306278019)	(48, 55.145303124657545)	(50, 55.478837792913495)	(52, 55.80078598682364)	(54, 56.01261949091463)	(56, 56.23888127806784)	(58, 56.73919075452496)	(60, 58.02998478577662)	(62, 66.06773928585795)	(64, 72.48316149442533)	(66, 75.39030689773577)	(68, 82.12345527931492)	(70, 86.47593197291249)	(72, 93.18596719838553)	(74, 93.76142931119573)	(76, 94.86158298810588)	(78, 95.68709935438292)	(80, 95.97729270267702)	(82, 96.09729143906037)	(84, 96.24205759308202)	(86, 96.33767424182255)	(88, 96.45962121995012)	(90, 96.61607350262673)	(92, 96.72498901892558)	(94, 96.8044915658738)	(96, 96.8582783183415)	(98, 96.88819952466888)	(100, 96.91520252064281)	(102, 96.93576784824455)	(104, 96.95406936212306)	(106, 96.97356838861674)	(108, 96.99278007851896)	(110, 97.00898220828435)	(112, 97.02435720728366)	(114, 97.04229996564916)	(116, 97.05666679522072)	(118, 97.0686518868032)	(120, 97.07915046827394)	(122, 97.08958261353857)	(124, 97.11767184148242)	(126, 97.14487414607468)	(128, 97.16389649278949)	(130, 97.18139745038437)	(132, 97.19713618761213)	(134, 97.21352101694433)	(136, 97.22951221175532)	(138, 97.24999449409941)
CD4_S2.raw - polyg	(1, 0.0)	(2, 0.0)	(3, 0.001694123255837824)	(4, 0.0018336392886715274)	(5, 0.0018735010123382997)	(6, 0.0019000754947828145)	(7, 0.0019100409256995077)	(8, 0.0019266499772273296)	(9, 0.0019332935978384582)	(10, 0.0019449199339079334)	(12, 0.0019465808390607157)	(14, 0.0019465808390607157)	(16, 0.0019465808390607157)	(18, 0.0019465808390607157)	(20, 0.0019465808390607157)	(22, 0.0019465808390607157)	(24, 0.0019465808390607157)	(26, 0.0019465808390607157)	(28, 0.0019465808390607157)	(30, 0.001948241744213498)	(32, 0.00194990264936628)	(34, 0.00194990264936628)	(36, 0.00194990264936628)	(38, 0.00194990264936628)	(40, 0.001951563554519062)	(42, 0.0021209758801028445)	(44, 0.002124297690408409)	(46, 0.002135924026477884)	(48, 0.0021558548883112705)	(50, 0.0021674812243807455)	(52, 0.002182429370755785)	(54, 0.0022206301892697755)	(56, 0.0022721182490060233)	(58, 0.0023186235932839243)	(60, 0.002591012038340202)	(62, 0.0050342035180827895)	(64, 0.01274246433214489)	(66, 0.04462686055010441)	(68, 0.22472212807658182)	(70, 0.33412428958519125)	(72, 0.3509309888261941)	(74, 0.4619093493247939)	(76, 0.5500369767314164)	(78, 0.6044050460025883)	(80, 0.6765082604951683)	(82, 0.8401090789493659)	(84, 1.2778323274393457)	(86, 1.907162577069736)	(88, 2.7948549277411585)	(90, 4.006370634240218)	(92, 7.090644928474282)	(94, 19.04301169672523)	(96, 39.5276043599026)	(98, 43.5233418793547)	(100, 45.31830533063855)	(102, 48.89792963854352)	(104, 50.774480072742335)	(106, 51.50840748527433)	(108, 52.081393188501735)	(110, 52.79121256274111)	(112, 53.62271483118876)	(114, 54.259359707112)	(116, 54.92947514367411)	(118, 55.67184327619255)	(120, 56.068429225858424)	(122, 56.38409587648074)	(124, 56.79788880352943)	(126, 57.03629014644433)	(128, 57.27534754689458)	(130, 57.71281335508588)	(132, 58.70833000737076)	(134, 63.270683658789366)	(136, 71.77532690184353)	(138, 75.40975277526455)
