Sample	ref_miRNA	iso_3p	iso_5p	iso_add3p	iso_snv_seed	iso_snv_central_offset	iso_snv_central	iso_snv_central_supp
CD14_S1	50.3728813559322	839.8566655275848	266.0045095828636	17.819806178073893	25.768857171176528	257.67167630057804	22.028436018957347	90.01072705601906
CD14_S2	53.950819672131146	787.7345225603358	287.4141872016203	21.119120180204053	25.980267404333794	258.9712778429074	21.845241961675868	82.38826149196755
CD14_S3	61.421052631578945	700.3962386711621	266.59077072933155	22.594638317541023	25.4109227570766	124.76151236063984	22.880848748639824	48.37857827694836
CD14_S4	55.523809523809526	636.5392501861	233.76609055720587	21.145315990014453	23.38867484992384	233.74211099020675	21.527482823235477	75.69997065727699
CD19_S1	26.25	373.57657533775654	127.33235466823253	24.326536556947275	16.57206094296891	102.65933375235701	12.732414533739037	36.48058761804827
CD19_S2	18.25531914893617	307.09729285073286	105.85517654099341	19.079546647077343	15.614238798967863	111.08496732026144	11.916893447770567	36.03747733225872
CD19_S3	19.372549019607842	407.8530907806429	134.4094327935581	24.973592077623287	17.769740356875733	70.61795543905636	14.596101891161714	28.739528335093276
CD19_S4	15.978260869565217	269.7321885665529	96.8427299703264	18.05530864197531	13.182806324110672	87.21148036253777	10.283199045061176	30.944246737841045
CD4_S1	20.096153846153847	390.1260328261113	156.45647413085135	24.948326359832635	16.807145257027663	183.57275320970044	14.039329207426633	55.47515469716857
CD4_S2	15.170731707317072	415.3086739344442	165.39696225150772	54.10486280901929	26.681142034548945	75.80538922155688	12.936692780012704	29.702734839476815
CD4_S3	13.475	406.7532694958829	153.06791729426263	24.5515873015873	16.154778235025148	32.35618374558304	13.720644511581067	17.481772293886706
CD4_S4	26.65909090909091	403.550516448225	147.48378286104472	19.294508915935467	16.35191369124069	119.2207105064248	12.843409090909091	43.007738226840594
CD56_S1	36.666666666666664	413.8936115487252	131.9770562587309	18.809882913276443	17.586158192090394	165.94939493949394	14.614919025028627	53.72273449920509
CD56_S2	35.9	454.7081353839547	165.9569546414563	23.757782839787396	19.79011274934952	100.24123222748815	16.474025974025974	34.26551814834298
CD56_S3	31.645833333333332	480.14951652475105	164.77807063784923	19.281635071090047	18.902739018087857	76.61689961880559	16.30424528301887	30.46980697715601
CD56_S4	25.88888888888889	439.663908530164	142.88540124370743	19.189955304634204	17.979192030990593	81.86544962812711	15.351884744424709	32.306915602972
