	CD14	CD19	CD4	CD56
CD14	1.0	0.06061261436881287	0.0626388578143486	0.06585263981088983
CD19	0.06061261436881287	1.0	0.09896244850400968	0.09042468178715053
CD4	0.0626388578143486	0.09896244850400968	1.0	0.08769747946618474
CD56	0.06585263981088983	0.09042468178715053	0.08769747946618474	1.0
