sample	raw_reads	passed_fastp	failed_fastp	mature_miRNA_mapped	hairpin_miRNA_mapped	RNAcentral_matched	candidate_shortRNA	mature_hairpin_unmapped	not_tRNA	tRNA_matched	cell_type	replicate
hsa-miR-10527-5p				4009.0							hsa-miR-10527-5p	
hsa-miR-106a-3p				605.0							hsa-miR-106a-3p	
hsa-miR-106a-5p				28066.0							hsa-miR-106a-5p	
hsa-miR-106b-3p				153758.0							hsa-miR-106b-3p	
hsa-miR-106b-5p				43704.0							hsa-miR-106b-5p	
hsa-miR-107				1847194.0							hsa-miR-107	
hsa-miR-10a-3p				1300.0							hsa-miR-10a-3p	
hsa-miR-10a-5p				45061.0							hsa-miR-10a-5p	
hsa-miR-10b-3p				777.0							hsa-miR-10b-3p	
hsa-miR-10b-5p				2734.0							hsa-miR-10b-5p	
hsa-miR-11181-3p				3945.0							hsa-miR-11181-3p	
hsa-miR-11181-5p				3664.0							hsa-miR-11181-5p	
hsa-miR-11399				21264.0							hsa-miR-11399	
hsa-miR-11400				1538.0							hsa-miR-11400	
hsa-miR-11401				4363.0							hsa-miR-11401	
hsa-miR-1178-3p				1106.0							hsa-miR-1178-3p	
hsa-miR-1178-5p				2845.0							hsa-miR-1178-5p	
hsa-miR-1179				662.0							hsa-miR-1179	
hsa-miR-1180-3p				10215.0							hsa-miR-1180-3p	
hsa-miR-1180-5p				13746.0							hsa-miR-1180-5p	
hsa-miR-1181				26370.0							hsa-miR-1181	
hsa-miR-1182				4148.0							hsa-miR-1182	
hsa-miR-1183				6395.0							hsa-miR-1183	
hsa-miR-1184				2035.0							hsa-miR-1184	
hsa-miR-1185-1-3p				1866.0							hsa-miR-1185-1-3p	
hsa-miR-1185-2-3p				1770.0							hsa-miR-1185-2-3p	
hsa-miR-1185-5p				243.0							hsa-miR-1185-5p	
hsa-miR-1193				2834.0							hsa-miR-1193	
hsa-miR-1197				5611.0							hsa-miR-1197	
hsa-miR-1199-3p				8442.0							hsa-miR-1199-3p	
hsa-miR-1199-5p				86597.0							hsa-miR-1199-5p	
hsa-miR-1200				19350.0							hsa-miR-1200	
hsa-miR-1202				4953.0							hsa-miR-1202	
hsa-miR-1203				4465.0							hsa-miR-1203	
hsa-miR-1204				8805.0							hsa-miR-1204	
hsa-miR-1205				1147.0							hsa-miR-1205	
hsa-miR-1206				519.0							hsa-miR-1206	
hsa-miR-1207-3p				4555.0							hsa-miR-1207-3p	
hsa-miR-1207-5p				13642.0							hsa-miR-1207-5p	
hsa-miR-1208				5441.0							hsa-miR-1208	
hsa-miR-12113				833.0							hsa-miR-12113	
hsa-miR-12114				5103.0							hsa-miR-12114	
hsa-miR-12115				12074.0							hsa-miR-12115	
hsa-miR-12116				15684.0							hsa-miR-12116	
hsa-miR-12117				1438.0							hsa-miR-12117	
hsa-miR-12118				4685.0							hsa-miR-12118	
hsa-miR-12119				5913.0							hsa-miR-12119	
hsa-miR-12120				24996.0							hsa-miR-12120	
hsa-miR-12121				7919.0							hsa-miR-12121	
hsa-miR-12122				4591.0							hsa-miR-12122	
hsa-miR-12123				55805.0							hsa-miR-12123	
hsa-miR-12124				1138.0							hsa-miR-12124	
hsa-miR-12125				881.0							hsa-miR-12125	
hsa-miR-12126				6631.0							hsa-miR-12126	
hsa-miR-12127				29893.0							hsa-miR-12127	
hsa-miR-12128				8715.0							hsa-miR-12128	
hsa-miR-12129				4224.0							hsa-miR-12129	
hsa-miR-12130				694.0							hsa-miR-12130	
hsa-miR-12131				1351.0							hsa-miR-12131	
hsa-miR-12132				43356.0							hsa-miR-12132	
hsa-miR-12133				762.0							hsa-miR-12133	
hsa-miR-12135				4406.0							hsa-miR-12135	
hsa-miR-12136				3349.0							hsa-miR-12136	
hsa-miR-122-3p				678.0							hsa-miR-122-3p	
hsa-miR-122-5p				4357.0							hsa-miR-122-5p	
hsa-miR-1224-3p				5973.0							hsa-miR-1224-3p	
hsa-miR-1224-5p				8193.0							hsa-miR-1224-5p	
hsa-miR-1225-3p				8148.0							hsa-miR-1225-3p	
hsa-miR-1225-5p				5229.0							hsa-miR-1225-5p	
hsa-miR-1226-3p				4599.0							hsa-miR-1226-3p	
hsa-miR-1226-5p				4589.0							hsa-miR-1226-5p	
hsa-miR-1227-3p				1280.0							hsa-miR-1227-3p	
hsa-miR-1227-5p				2835.0							hsa-miR-1227-5p	
hsa-miR-1228-3p				4458.0							hsa-miR-1228-3p	
hsa-miR-1228-5p				12171.0							hsa-miR-1228-5p	
hsa-miR-1229-3p				6947.0							hsa-miR-1229-3p	
hsa-miR-1229-5p				5013.0							hsa-miR-1229-5p	
hsa-miR-122b-3p				4412.0							hsa-miR-122b-3p	
hsa-miR-122b-5p				736.0							hsa-miR-122b-5p	
hsa-miR-1231				10961.0							hsa-miR-1231	
hsa-miR-1233-3p				8294.0							hsa-miR-1233-3p	
hsa-miR-1233-5p				5778.0							hsa-miR-1233-5p	
hsa-miR-1234-3p				6903.0							hsa-miR-1234-3p	
hsa-miR-1236-3p				2870.0							hsa-miR-1236-3p	
hsa-miR-1236-5p				4363.0							hsa-miR-1236-5p	
hsa-miR-1237-3p				8341.0							hsa-miR-1237-3p	
hsa-miR-1237-5p				22672.0							hsa-miR-1237-5p	
hsa-miR-1238-3p				2362.0							hsa-miR-1238-3p	
hsa-miR-1238-5p				8578.0							hsa-miR-1238-5p	
hsa-miR-124-3p				2425.0							hsa-miR-124-3p	
hsa-miR-124-5p				5311.0							hsa-miR-124-5p	
hsa-miR-1243				431.0							hsa-miR-1243	
hsa-miR-1244				3197.0							hsa-miR-1244	
hsa-miR-1245a				1447.0							hsa-miR-1245a	
hsa-miR-1245b-3p				1030.0							hsa-miR-1245b-3p	
hsa-miR-1245b-5p				512.0							hsa-miR-1245b-5p	
hsa-miR-1246				4036.0							hsa-miR-1246	
hsa-miR-1247-3p				3503.0							hsa-miR-1247-3p	
hsa-miR-1247-5p				5463.0							hsa-miR-1247-5p	
hsa-miR-1248				2077.0							hsa-miR-1248	
hsa-miR-1249-3p				6630.0							hsa-miR-1249-3p	
hsa-miR-1249-5p				10226.0							hsa-miR-1249-5p	
hsa-miR-1250-3p				2575.0							hsa-miR-1250-3p	
hsa-miR-1250-5p				3520.0							hsa-miR-1250-5p	
hsa-miR-1251-3p				26079.0							hsa-miR-1251-3p	
hsa-miR-1251-5p				1398.0							hsa-miR-1251-5p	
hsa-miR-1252-3p				283.0							hsa-miR-1252-3p	
hsa-miR-1252-5p				480.0							hsa-miR-1252-5p	
hsa-miR-1253				1485.0							hsa-miR-1253	
hsa-miR-1255a				7504.0							hsa-miR-1255a	
hsa-miR-1255b-2-3p				6434.0							hsa-miR-1255b-2-3p	
hsa-miR-1255b-5p				6530.0							hsa-miR-1255b-5p	
hsa-miR-1256				1720.0							hsa-miR-1256	
hsa-miR-1257				36569.0							hsa-miR-1257	
hsa-miR-1258				4149.0							hsa-miR-1258	
hsa-miR-125a-3p				2787.0							hsa-miR-125a-3p	
hsa-miR-125a-5p				212546.0							hsa-miR-125a-5p	
hsa-miR-125b-1-3p				3570.0							hsa-miR-125b-1-3p	
hsa-miR-125b-2-3p				6625.0							hsa-miR-125b-2-3p	
hsa-miR-125b-5p				35348.0							hsa-miR-125b-5p	
hsa-miR-126-3p				19599.0							hsa-miR-126-3p	
hsa-miR-126-5p				1870.0							hsa-miR-126-5p	
hsa-miR-1260a				392235.0							hsa-miR-1260a	
hsa-miR-1260b				136367.0							hsa-miR-1260b	
hsa-miR-1261				3982.0							hsa-miR-1261	
hsa-miR-1262				1228.0							hsa-miR-1262	
hsa-miR-1263				3968.0							hsa-miR-1263	
hsa-miR-1264				6315.0							hsa-miR-1264	
hsa-miR-1265				1390.0							hsa-miR-1265	
hsa-miR-1266-3p				6167.0							hsa-miR-1266-3p	
hsa-miR-1266-5p				4064.0							hsa-miR-1266-5p	
hsa-miR-1267				345.0							hsa-miR-1267	
hsa-miR-1268a				7884.0							hsa-miR-1268a	
hsa-miR-1268b				10096.0							hsa-miR-1268b	
hsa-miR-1269a				4019.0							hsa-miR-1269a	
hsa-miR-1269b				3599.0							hsa-miR-1269b	
hsa-miR-127-3p				98424.0							hsa-miR-127-3p	
hsa-miR-127-5p				9991.0							hsa-miR-127-5p	
hsa-miR-1270				763.0							hsa-miR-1270	
hsa-miR-1271-3p				1073.0							hsa-miR-1271-3p	
hsa-miR-1271-5p				5630.0							hsa-miR-1271-5p	
hsa-miR-1272				11702.0							hsa-miR-1272	
hsa-miR-1273c				3120.0							hsa-miR-1273c	
hsa-miR-1273h-3p				11858.0							hsa-miR-1273h-3p	
hsa-miR-1273h-5p				4989.0							hsa-miR-1273h-5p	
hsa-miR-1275				48600.0							hsa-miR-1275	
hsa-miR-1276				2837.0							hsa-miR-1276	
hsa-miR-1277-3p				2396.0							hsa-miR-1277-3p	
hsa-miR-1277-5p				1339.0							hsa-miR-1277-5p	
hsa-miR-1278				942.0							hsa-miR-1278	
hsa-miR-1279				136.0							hsa-miR-1279	
hsa-miR-128-1-5p				11257.0							hsa-miR-128-1-5p	
hsa-miR-128-2-5p				31114.0							hsa-miR-128-2-5p	
hsa-miR-128-3p				80178.0							hsa-miR-128-3p	
hsa-miR-1281				4216.0							hsa-miR-1281	
hsa-miR-1282				12576.0							hsa-miR-1282	
hsa-miR-1283				1372.0							hsa-miR-1283	
hsa-miR-1284				6700.0							hsa-miR-1284	
hsa-miR-1285-3p				8515.0							hsa-miR-1285-3p	
hsa-miR-1285-5p				2267.0							hsa-miR-1285-5p	
hsa-miR-1286				3693.0							hsa-miR-1286	
hsa-miR-1287-3p				3264.0							hsa-miR-1287-3p	
hsa-miR-1287-5p				21331.0							hsa-miR-1287-5p	
hsa-miR-1288-3p				2323.0							hsa-miR-1288-3p	
hsa-miR-1288-5p				5032.0							hsa-miR-1288-5p	
hsa-miR-1289				1235.0							hsa-miR-1289	
hsa-miR-129-1-3p				1482.0							hsa-miR-129-1-3p	
hsa-miR-129-2-3p				1525.0							hsa-miR-129-2-3p	
hsa-miR-129-5p				6772.0							hsa-miR-129-5p	
hsa-miR-1290				3369.0							hsa-miR-1290	
hsa-miR-1291				29460.0							hsa-miR-1291	
hsa-miR-1292-3p				15751.0							hsa-miR-1292-3p	
hsa-miR-1292-5p				15035.0							hsa-miR-1292-5p	
hsa-miR-1293				4622.0							hsa-miR-1293	
hsa-miR-1294				2576.0							hsa-miR-1294	
hsa-miR-1295a				3312.0							hsa-miR-1295a	
hsa-miR-1295b-3p				3303.0							hsa-miR-1295b-3p	
hsa-miR-1295b-5p				3173.0							hsa-miR-1295b-5p	
hsa-miR-1296-3p				4328.0							hsa-miR-1296-3p	
hsa-miR-1296-5p				12436.0							hsa-miR-1296-5p	
hsa-miR-1297				40339.0							hsa-miR-1297	
hsa-miR-1298-3p				1945.0							hsa-miR-1298-3p	
hsa-miR-1298-5p				8353.0							hsa-miR-1298-5p	
hsa-miR-1299				8820.0							hsa-miR-1299	
hsa-miR-1301-3p				32511.0							hsa-miR-1301-3p	
hsa-miR-1301-5p				5006.0							hsa-miR-1301-5p	
hsa-miR-1302				353.0							hsa-miR-1302	
hsa-miR-1303				7101.0							hsa-miR-1303	
hsa-miR-1304-3p				10876.0							hsa-miR-1304-3p	
