sample	raw_reads	passed_fastp	failed_fastp	mature_miRNA_mapped	hairpin_miRNA_mapped	RNAcentral_matched	candidate_shortRNA	mature_hairpin_unmapped	not_tRNA	tRNA_matched	cell_type	replicate
hsa-miR-4273				100562.0							hsa-miR-4273	
hsa-miR-4274				12882.0							hsa-miR-4274	
hsa-miR-4275				283.0							hsa-miR-4275	
hsa-miR-4276				522.0							hsa-miR-4276	
hsa-miR-4277				18279.0							hsa-miR-4277	
hsa-miR-4278				873.0							hsa-miR-4278	
hsa-miR-4279				7258.0							hsa-miR-4279	
hsa-miR-4280				40500.0							hsa-miR-4280	
hsa-miR-4281				15576.0							hsa-miR-4281	
hsa-miR-4282				229.0							hsa-miR-4282	
hsa-miR-4283				4141.0							hsa-miR-4283	
hsa-miR-4284				2480.0							hsa-miR-4284	
hsa-miR-4285				3400.0							hsa-miR-4285	
hsa-miR-4286				55919.0							hsa-miR-4286	
hsa-miR-4287				547.0							hsa-miR-4287	
hsa-miR-4288				1363.0							hsa-miR-4288	
hsa-miR-4289				1047.0							hsa-miR-4289	
hsa-miR-429				27961.0							hsa-miR-429	
hsa-miR-4290				2420.0							hsa-miR-4290	
hsa-miR-4291				2623.0							hsa-miR-4291	
hsa-miR-4292				10534.0							hsa-miR-4292	
hsa-miR-4293				1957.0							hsa-miR-4293	
hsa-miR-4294				8334.0							hsa-miR-4294	
hsa-miR-4295				475.0							hsa-miR-4295	
hsa-miR-4296				5064.0							hsa-miR-4296	
hsa-miR-4297				1038.0							hsa-miR-4297	
hsa-miR-4298				8332.0							hsa-miR-4298	
hsa-miR-4299				951.0							hsa-miR-4299	
hsa-miR-4300				2721.0							hsa-miR-4300	
hsa-miR-4301				1485.0							hsa-miR-4301	
hsa-miR-4302				19086.0							hsa-miR-4302	
hsa-miR-4303				34185.0							hsa-miR-4303	
hsa-miR-4304				1757.0							hsa-miR-4304	
hsa-miR-4305				995.0							hsa-miR-4305	
hsa-miR-4306				1105.0							hsa-miR-4306	
hsa-miR-4307				5263.0							hsa-miR-4307	
hsa-miR-4308				686.0							hsa-miR-4308	
hsa-miR-4309				522.0							hsa-miR-4309	
hsa-miR-431-3p				1773.0							hsa-miR-431-3p	
hsa-miR-431-5p				7867.0							hsa-miR-431-5p	
hsa-miR-4310				357.0							hsa-miR-4310	
hsa-miR-4311				2604.0							hsa-miR-4311	
hsa-miR-4312				3329.0							hsa-miR-4312	
hsa-miR-4313				4330.0							hsa-miR-4313	
hsa-miR-4314				1228.0							hsa-miR-4314	
hsa-miR-4315				22505.0							hsa-miR-4315	
hsa-miR-4316				1459.0							hsa-miR-4316	
hsa-miR-4317				1381.0							hsa-miR-4317	
hsa-miR-4318				808.0							hsa-miR-4318	
hsa-miR-4319				1826.0							hsa-miR-4319	
hsa-miR-432-3p				2788.0							hsa-miR-432-3p	
hsa-miR-432-5p				1360.0							hsa-miR-432-5p	
hsa-miR-4320				1811.0							hsa-miR-4320	
hsa-miR-4321				8145.0							hsa-miR-4321	
hsa-miR-4322				5984.0							hsa-miR-4322	
hsa-miR-4323				9806.0							hsa-miR-4323	
hsa-miR-4324				1516.0							hsa-miR-4324	
hsa-miR-4325				10699.0							hsa-miR-4325	
hsa-miR-4326				3901.0							hsa-miR-4326	
hsa-miR-4327				4491.0							hsa-miR-4327	
hsa-miR-4328				937.0							hsa-miR-4328	
hsa-miR-4329				2725.0							hsa-miR-4329	
hsa-miR-433-3p				3662.0							hsa-miR-433-3p	
hsa-miR-433-5p				3097.0							hsa-miR-433-5p	
hsa-miR-4330				16774.0							hsa-miR-4330	
hsa-miR-4418				2799.0							hsa-miR-4418	
hsa-miR-4420				10279.0							hsa-miR-4420	
hsa-miR-4421				4124.0							hsa-miR-4421	
hsa-miR-4422				1643.0							hsa-miR-4422	
hsa-miR-4423-3p				713.0							hsa-miR-4423-3p	
hsa-miR-4423-5p				1323.0							hsa-miR-4423-5p	
hsa-miR-4424				819.0							hsa-miR-4424	
hsa-miR-4425				1974.0							hsa-miR-4425	
hsa-miR-4426				545.0							hsa-miR-4426	
hsa-miR-4427				4508.0							hsa-miR-4427	
hsa-miR-4428				4479.0							hsa-miR-4428	
hsa-miR-4429				11724.0							hsa-miR-4429	
hsa-miR-4430				6624.0							hsa-miR-4430	
hsa-miR-4431				4813.0							hsa-miR-4431	
hsa-miR-4432				909.0							hsa-miR-4432	
hsa-miR-4433a-3p				20989.0							hsa-miR-4433a-3p	
hsa-miR-4433a-5p				8402.0							hsa-miR-4433a-5p	
hsa-miR-4433b-3p				7884.0							hsa-miR-4433b-3p	
hsa-miR-4433b-5p				20985.0							hsa-miR-4433b-5p	
hsa-miR-4434				627.0							hsa-miR-4434	
hsa-miR-4435				16677.0							hsa-miR-4435	
hsa-miR-4436a				2883.0							hsa-miR-4436a	
hsa-miR-4436b-3p				2158.0							hsa-miR-4436b-3p	
hsa-miR-4436b-5p				4456.0							hsa-miR-4436b-5p	
hsa-miR-4437				6295.0							hsa-miR-4437	
hsa-miR-4438				3607.0							hsa-miR-4438	
hsa-miR-4439				11204.0							hsa-miR-4439	
hsa-miR-4440				3914.0							hsa-miR-4440	
hsa-miR-4441				2768.0							hsa-miR-4441	
hsa-miR-4442				4012.0							hsa-miR-4442	
hsa-miR-4443				439151.0							hsa-miR-4443	
hsa-miR-4444				2318.0							hsa-miR-4444	
hsa-miR-4445-3p				439.0							hsa-miR-4445-3p	
hsa-miR-4445-5p				549.0							hsa-miR-4445-5p	
hsa-miR-4446-3p				3827.0							hsa-miR-4446-3p	
hsa-miR-4446-5p				1592.0							hsa-miR-4446-5p	
hsa-miR-4447				4770.0							hsa-miR-4447	
hsa-miR-4448				2674.0							hsa-miR-4448	
hsa-miR-4449				17104.0							hsa-miR-4449	
hsa-miR-4450				2052.0							hsa-miR-4450	
hsa-miR-4451				3781.0							hsa-miR-4451	
hsa-miR-4452				1750.0							hsa-miR-4452	
hsa-miR-4453				3994.0							hsa-miR-4453	
hsa-miR-4454				11411.0							hsa-miR-4454	
hsa-miR-4455				2809.0							hsa-miR-4455	
hsa-miR-4456				1707.0							hsa-miR-4456	
hsa-miR-4457				54558.0							hsa-miR-4457	
hsa-miR-4458				2031.0							hsa-miR-4458	
hsa-miR-4460				683.0							hsa-miR-4460	
hsa-miR-4462				5725.0							hsa-miR-4462	
hsa-miR-4463				10277.0							hsa-miR-4463	
hsa-miR-4464				536.0							hsa-miR-4464	
hsa-miR-4465				2840.0							hsa-miR-4465	
hsa-miR-4466				28479.0							hsa-miR-4466	
hsa-miR-4467				10380.0							hsa-miR-4467	
hsa-miR-4468				4360.0							hsa-miR-4468	
hsa-miR-4469				4558.0							hsa-miR-4469	
hsa-miR-4470				4250.0							hsa-miR-4470	
hsa-miR-4471				1027.0							hsa-miR-4471	
hsa-miR-4472				5505.0							hsa-miR-4472	
hsa-miR-4473				2399.0							hsa-miR-4473	
hsa-miR-4474-3p				4556.0							hsa-miR-4474-3p	
hsa-miR-4474-5p				37392.0							hsa-miR-4474-5p	
hsa-miR-4475				832.0							hsa-miR-4475	
hsa-miR-4476				2028.0							hsa-miR-4476	
hsa-miR-4477a				1431.0							hsa-miR-4477a	
hsa-miR-4477b				3654.0							hsa-miR-4477b	
hsa-miR-4478				18826.0							hsa-miR-4478	
hsa-miR-4479				11479.0							hsa-miR-4479	
hsa-miR-448				1323.0							hsa-miR-448	
hsa-miR-4480				513.0							hsa-miR-4480	
hsa-miR-4481				6690.0							hsa-miR-4481	
hsa-miR-4482-3p				3900.0							hsa-miR-4482-3p	
hsa-miR-4482-5p				2395.0							hsa-miR-4482-5p	
hsa-miR-4483				889.0							hsa-miR-4483	
hsa-miR-4484				4658.0							hsa-miR-4484	
hsa-miR-4485-3p				6897.0							hsa-miR-4485-3p	
hsa-miR-4485-5p				3643.0							hsa-miR-4485-5p	
hsa-miR-4486				7624.0							hsa-miR-4486	
hsa-miR-4487				8860.0							hsa-miR-4487	
hsa-miR-4488				28625.0							hsa-miR-4488	
hsa-miR-4489				2974.0							hsa-miR-4489	
hsa-miR-4490				1163.0							hsa-miR-4490	
hsa-miR-4491				2992.0							hsa-miR-4491	
hsa-miR-4492				51018.0							hsa-miR-4492	
hsa-miR-4493				1316.0							hsa-miR-4493	
hsa-miR-4494				7418.0							hsa-miR-4494	
hsa-miR-4495				410.0							hsa-miR-4495	
hsa-miR-4496				3375.0							hsa-miR-4496	
hsa-miR-4497				9770.0							hsa-miR-4497	
hsa-miR-4498				5109.0							hsa-miR-4498	
hsa-miR-4499				11100.0							hsa-miR-4499	
hsa-miR-449a				1031.0							hsa-miR-449a	
hsa-miR-449b-3p				13568.0							hsa-miR-449b-3p	
hsa-miR-449b-5p				1524.0							hsa-miR-449b-5p	
hsa-miR-449c-3p				813.0							hsa-miR-449c-3p	
hsa-miR-449c-5p				2065.0							hsa-miR-449c-5p	
hsa-miR-4500				7259.0							hsa-miR-4500	
hsa-miR-4501				3515.0							hsa-miR-4501	
hsa-miR-4502				11233.0							hsa-miR-4502	
hsa-miR-4503				672.0							hsa-miR-4503	
hsa-miR-4504				1900.0							hsa-miR-4504	
hsa-miR-4505				14722.0							hsa-miR-4505	
hsa-miR-4506				7756.0							hsa-miR-4506	
hsa-miR-4507				41113.0							hsa-miR-4507	
hsa-miR-4508				33991.0							hsa-miR-4508	
hsa-miR-4509				305.0							hsa-miR-4509	
hsa-miR-450a-1-3p				707.0							hsa-miR-450a-1-3p	
hsa-miR-450a-2-3p				1020.0							hsa-miR-450a-2-3p	
hsa-miR-450a-5p				9185.0							hsa-miR-450a-5p	
hsa-miR-450b-3p				626.0							hsa-miR-450b-3p	
hsa-miR-450b-5p				13973.0							hsa-miR-450b-5p	
hsa-miR-4510				2109.0							hsa-miR-4510	
hsa-miR-4511				963.0							hsa-miR-4511	
hsa-miR-4512				2217.0							hsa-miR-4512	
hsa-miR-4513				32903.0							hsa-miR-4513	
hsa-miR-4514				2343.0							hsa-miR-4514	
hsa-miR-4515				7145.0							hsa-miR-4515	
hsa-miR-4516				7748.0							hsa-miR-4516	
hsa-miR-4517				3273.0							hsa-miR-4517	
hsa-miR-4518				15950.0							hsa-miR-4518	
hsa-miR-4519				5594.0							hsa-miR-4519	
hsa-miR-451a				4229.0							hsa-miR-451a	
hsa-miR-451b				757.0							hsa-miR-451b	
hsa-miR-452-3p				1294.0							hsa-miR-452-3p	
hsa-miR-452-5p				2168.0							hsa-miR-452-5p	
hsa-miR-4520-2-3p				757.0							hsa-miR-4520-2-3p	
hsa-miR-4520-3p				773.0							hsa-miR-4520-3p	
hsa-miR-4520-5p				497.0							hsa-miR-4520-5p	
hsa-miR-4521				1854.0							hsa-miR-4521	
hsa-miR-4522				5319.0							hsa-miR-4522	
hsa-miR-4523				7793.0							hsa-miR-4523	
hsa-miR-4524a-3p				3306.0							hsa-miR-4524a-3p	
hsa-miR-4524a-5p				1497.0							hsa-miR-4524a-5p	
hsa-miR-4524b-3p				1415.0							hsa-miR-4524b-3p	
hsa-miR-4524b-5p				3115.0							hsa-miR-4524b-5p	
hsa-miR-4525				1105.0							hsa-miR-4525	
hsa-miR-4526				11832.0							hsa-miR-4526	
hsa-miR-4527				1147.0							hsa-miR-4527	
hsa-miR-4528				1369.0							hsa-miR-4528	
hsa-miR-4529-3p				6733.0							hsa-miR-4529-3p	
hsa-miR-4529-5p				4889.0							hsa-miR-4529-5p	
hsa-miR-4530				21439.0							hsa-miR-4530	
hsa-miR-4531				1599.0							hsa-miR-4531	
hsa-miR-4533				4217.0							hsa-miR-4533	
hsa-miR-4534				4403.0							hsa-miR-4534	
hsa-miR-4535				5807.0							hsa-miR-4535	
hsa-miR-4536-3p				974.0							hsa-miR-4536-3p	
hsa-miR-4536-5p				962.0							hsa-miR-4536-5p	
hsa-miR-4537				14929.0							hsa-miR-4537	
hsa-miR-4538				4213.0							hsa-miR-4538	
hsa-miR-4539				9420.0							hsa-miR-4539	
hsa-miR-454-3p				3413.0							hsa-miR-454-3p	
hsa-miR-454-5p				2370.0							hsa-miR-454-5p	
hsa-miR-4540				2277.0							hsa-miR-4540	
hsa-miR-455-3p				1020.0							hsa-miR-455-3p	
hsa-miR-455-5p				995.0							hsa-miR-455-5p	
hsa-miR-4632-3p				8102.0							hsa-miR-4632-3p	
hsa-miR-4632-5p				10919.0							hsa-miR-4632-5p	
hsa-miR-4633-3p				19567.0							hsa-miR-4633-3p	
hsa-miR-4633-5p				19540.0							hsa-miR-4633-5p	
hsa-miR-4634				45217.0							hsa-miR-4634	
hsa-miR-4635				1934.0							hsa-miR-4635	
hsa-miR-4636				854.0							hsa-miR-4636	
hsa-miR-4637				897.0							hsa-miR-4637	
hsa-miR-4638-3p				11785.0							hsa-miR-4638-3p	
hsa-miR-4638-5p				7651.0							hsa-miR-4638-5p	
hsa-miR-4639-3p				729.0							hsa-miR-4639-3p	
hsa-miR-4639-5p				6900.0							hsa-miR-4639-5p	
hsa-miR-4640-3p				2044.0							hsa-miR-4640-3p	
hsa-miR-4640-5p				8113.0							hsa-miR-4640-5p	
hsa-miR-4641				1253.0							hsa-miR-4641	
hsa-miR-4642				2491.0							hsa-miR-4642	
hsa-miR-4643				602.0							hsa-miR-4643	
hsa-miR-4644				2963.0							hsa-miR-4644	
hsa-miR-4645-3p				3482.0							hsa-miR-4645-3p	
hsa-miR-4645-5p				1211.0							hsa-miR-4645-5p	
hsa-miR-4646-3p				10182.0							hsa-miR-4646-3p	
hsa-miR-4646-5p				9185.0							hsa-miR-4646-5p	
hsa-miR-4647				83417.0							hsa-miR-4647	
hsa-miR-4648				3149.0							hsa-miR-4648	
hsa-miR-4649-3p				4674.0							hsa-miR-4649-3p	
hsa-miR-4649-5p				7067.0							hsa-miR-4649-5p	
hsa-miR-4650-3p				4781.0							hsa-miR-4650-3p	
hsa-miR-4650-5p				2221.0							hsa-miR-4650-5p	
hsa-miR-4651				7880.0							hsa-miR-4651	
hsa-miR-4652-3p				8108.0							hsa-miR-4652-3p	
hsa-miR-4652-5p				4334.0							hsa-miR-4652-5p	
hsa-miR-4653-3p				1115.0							hsa-miR-4653-3p	
hsa-miR-4653-5p				24363.0							hsa-miR-4653-5p	
hsa-miR-4654				3847.0							hsa-miR-4654	
hsa-miR-4655-3p				26625.0							hsa-miR-4655-3p	
hsa-miR-4655-5p				5318.0							hsa-miR-4655-5p	
hsa-miR-4656				10418.0							hsa-miR-4656	
hsa-miR-4657				8824.0							hsa-miR-4657	
hsa-miR-4658				2953.0							hsa-miR-4658	
hsa-miR-4659a-3p				2044.0							hsa-miR-4659a-3p	
hsa-miR-4659a-5p				1814.0							hsa-miR-4659a-5p	
hsa-miR-4659b-3p				2045.0							hsa-miR-4659b-3p	
hsa-miR-4659b-5p				1507.0							hsa-miR-4659b-5p	
hsa-miR-466				712.0							hsa-miR-466	
hsa-miR-4660				5858.0							hsa-miR-4660	
hsa-miR-4661-3p				4169.0							hsa-miR-4661-3p	
hsa-miR-4661-5p				4015.0							hsa-miR-4661-5p	
hsa-miR-4662a-3p				475.0							hsa-miR-4662a-3p	
hsa-miR-4662a-5p				1968.0							hsa-miR-4662a-5p	
hsa-miR-4662b				2012.0							hsa-miR-4662b	
hsa-miR-4663				2678.0							hsa-miR-4663	
hsa-miR-4664-3p				6871.0							hsa-miR-4664-3p	
hsa-miR-4664-5p				5662.0							hsa-miR-4664-5p	
hsa-miR-4665-3p				13319.0							hsa-miR-4665-3p	
hsa-miR-4665-5p				10106.0							hsa-miR-4665-5p	
hsa-miR-4666a-3p				3477.0							hsa-miR-4666a-3p	
hsa-miR-4666a-5p				3507.0							hsa-miR-4666a-5p	
hsa-miR-4666b				3734.0							hsa-miR-4666b	
hsa-miR-4667-3p				4903.0							hsa-miR-4667-3p	
hsa-miR-4667-5p				4337.0							hsa-miR-4667-5p	
hsa-miR-4668-3p				657.0							hsa-miR-4668-3p	
hsa-miR-4668-5p				4999.0							hsa-miR-4668-5p	
hsa-miR-4669				5868.0							hsa-miR-4669	
hsa-miR-4670-3p				1486.0							hsa-miR-4670-3p	
hsa-miR-4670-5p				1486.0							hsa-miR-4670-5p	
hsa-miR-4671-3p				433.0							hsa-miR-4671-3p	
hsa-miR-4671-5p				1258.0							hsa-miR-4671-5p	
hsa-miR-4672				3144.0							hsa-miR-4672	
hsa-miR-4673				10455.0							hsa-miR-4673	
hsa-miR-4674				10057.0							hsa-miR-4674	
hsa-miR-4675				2379.0							hsa-miR-4675	
hsa-miR-4676-3p				1175.0							hsa-miR-4676-3p	
hsa-miR-4676-5p				2973.0							hsa-miR-4676-5p	
hsa-miR-4677-3p				4081.0							hsa-miR-4677-3p	
hsa-miR-4677-5p				25670.0							hsa-miR-4677-5p	
hsa-miR-4678				1287.0							hsa-miR-4678	
hsa-miR-4679				681.0							hsa-miR-4679	
hsa-miR-4680-3p				451.0							hsa-miR-4680-3p	
hsa-miR-4680-5p				1524.0							hsa-miR-4680-5p	
hsa-miR-4681				2129.0							hsa-miR-4681	
hsa-miR-4682				8614.0							hsa-miR-4682	
hsa-miR-4683				4578.0							hsa-miR-4683	
hsa-miR-4684-3p				2777.0							hsa-miR-4684-3p	
hsa-miR-4684-5p				1309.0							hsa-miR-4684-5p	
hsa-miR-4685-3p				4830.0							hsa-miR-4685-3p	
hsa-miR-4685-5p				7183.0							hsa-miR-4685-5p	
hsa-miR-4686				13229.0							hsa-miR-4686	
hsa-miR-4687-3p				13414.0							hsa-miR-4687-3p	
hsa-miR-4687-5p				7657.0							hsa-miR-4687-5p	
hsa-miR-4688				10008.0							hsa-miR-4688	
hsa-miR-4689				2709.0							hsa-miR-4689	
hsa-miR-4690-3p				11078.0							hsa-miR-4690-3p	
hsa-miR-4690-5p				19521.0							hsa-miR-4690-5p	
hsa-miR-4691-3p				10337.0							hsa-miR-4691-3p	
hsa-miR-4691-5p				3489.0							hsa-miR-4691-5p	
hsa-miR-4692				127676.0							hsa-miR-4692	
hsa-miR-4693-3p				640.0							hsa-miR-4693-3p	
hsa-miR-4693-5p				5381.0							hsa-miR-4693-5p	
hsa-miR-4694-3p				769.0							hsa-miR-4694-3p	
hsa-miR-4694-5p				738.0							hsa-miR-4694-5p	
hsa-miR-4695-3p				7662.0							hsa-miR-4695-3p	
hsa-miR-4695-5p				6769.0							hsa-miR-4695-5p	
hsa-miR-4696				1167.0							hsa-miR-4696	
hsa-miR-4697-3p				3572.0							hsa-miR-4697-3p	
hsa-miR-4697-5p				5435.0							hsa-miR-4697-5p	
hsa-miR-4698				1571.0							hsa-miR-4698	
hsa-miR-4699-3p				27564.0							hsa-miR-4699-3p	
hsa-miR-4699-5p				28138.0							hsa-miR-4699-5p	
hsa-miR-4700-3p				5546.0							hsa-miR-4700-3p	
hsa-miR-4700-5p				12179.0							hsa-miR-4700-5p	
hsa-miR-4701-3p				3784.0							hsa-miR-4701-3p	
hsa-miR-4701-5p				3455.0							hsa-miR-4701-5p	
hsa-miR-4703-3p				708.0							hsa-miR-4703-3p	
hsa-miR-4703-5p				4690.0							hsa-miR-4703-5p	
hsa-miR-4704-3p				950.0							hsa-miR-4704-3p	
hsa-miR-4704-5p				1346.0							hsa-miR-4704-5p	
hsa-miR-4705				306.0							hsa-miR-4705	
hsa-miR-4706				10256.0							hsa-miR-4706	
hsa-miR-4707-3p				39496.0							hsa-miR-4707-3p	
hsa-miR-4707-5p				24759.0							hsa-miR-4707-5p	
hsa-miR-4708-3p				1867.0							hsa-miR-4708-3p	
hsa-miR-4708-5p				2082.0							hsa-miR-4708-5p	
hsa-miR-4709-3p				2368.0							hsa-miR-4709-3p	
hsa-miR-4709-5p				1224.0							hsa-miR-4709-5p	
hsa-miR-4710				2478.0							hsa-miR-4710	
hsa-miR-4711-3p				742.0							hsa-miR-4711-3p	
hsa-miR-4711-5p				9343.0							hsa-miR-4711-5p	
hsa-miR-4712-3p				1180.0							hsa-miR-4712-3p	
hsa-miR-4712-5p				1544.0							hsa-miR-4712-5p	
hsa-miR-4713-3p				3065.0							hsa-miR-4713-3p	
hsa-miR-4713-5p				12223.0							hsa-miR-4713-5p	
hsa-miR-4714-3p				6437.0							hsa-miR-4714-3p	
hsa-miR-4714-5p				2655.0							hsa-miR-4714-5p	
hsa-miR-4715-3p				14175.0							hsa-miR-4715-3p	
hsa-miR-4715-5p				15421.0							hsa-miR-4715-5p	
hsa-miR-4716-3p				1762.0							hsa-miR-4716-3p	
hsa-miR-4716-5p				3817.0							hsa-miR-4716-5p	
hsa-miR-4717-3p				5241.0							hsa-miR-4717-3p	
hsa-miR-4717-5p				5484.0							hsa-miR-4717-5p	
hsa-miR-4718				2059.0							hsa-miR-4718	
hsa-miR-4719				345.0							hsa-miR-4719	
hsa-miR-4720-3p				295.0							hsa-miR-4720-3p	
hsa-miR-4720-5p				328.0							hsa-miR-4720-5p	
hsa-miR-4721				5145.0							hsa-miR-4721	
hsa-miR-4722-3p				5357.0							hsa-miR-4722-3p	
hsa-miR-4722-5p				4572.0							hsa-miR-4722-5p	
hsa-miR-4723-3p				7894.0							hsa-miR-4723-3p	
hsa-miR-4723-5p				5445.0							hsa-miR-4723-5p	
hsa-miR-4724-3p				1081.0							hsa-miR-4724-3p	
hsa-miR-4724-5p				1903.0							hsa-miR-4724-5p	
hsa-miR-4725-3p				2339.0							hsa-miR-4725-3p	
hsa-miR-4725-5p				5861.0							hsa-miR-4725-5p	
hsa-miR-4726-3p				12515.0							hsa-miR-4726-3p	
hsa-miR-4726-5p				7746.0							hsa-miR-4726-5p	
hsa-miR-4727-3p				3676.0							hsa-miR-4727-3p	
hsa-miR-4727-5p				3561.0							hsa-miR-4727-5p	
hsa-miR-4728-3p				9902.0							hsa-miR-4728-3p	
hsa-miR-4728-5p				5511.0							hsa-miR-4728-5p	
hsa-miR-4729				52453.0							hsa-miR-4729	
hsa-miR-4730				5391.0							hsa-miR-4730	
hsa-miR-4731-3p				7490.0							hsa-miR-4731-3p	
hsa-miR-4731-5p				3493.0							hsa-miR-4731-5p	
hsa-miR-4732-3p				2560.0							hsa-miR-4732-3p	
hsa-miR-4732-5p				8678.0							hsa-miR-4732-5p	
hsa-miR-4733-3p				1920.0							hsa-miR-4733-3p	
hsa-miR-4733-5p				1447.0							hsa-miR-4733-5p	
hsa-miR-4734				31738.0							hsa-miR-4734	
hsa-miR-4735-3p				3340.0							hsa-miR-4735-3p	
hsa-miR-4735-5p				2857.0							hsa-miR-4735-5p	
hsa-miR-4736				1015.0							hsa-miR-4736	
hsa-miR-4737				2864.0							hsa-miR-4737	
hsa-miR-4738-3p				9094.0							hsa-miR-4738-3p	
hsa-miR-4738-5p				3884.0							hsa-miR-4738-5p	
hsa-miR-4739				13660.0							hsa-miR-4739	
hsa-miR-4740-3p				2086.0							hsa-miR-4740-3p	
hsa-miR-4740-5p				3743.0							hsa-miR-4740-5p	
hsa-miR-4741				13694.0							hsa-miR-4741	
hsa-miR-4742-3p				1494.0							hsa-miR-4742-3p	
hsa-miR-4742-5p				557.0							hsa-miR-4742-5p	
hsa-miR-4743-3p				1817.0							hsa-miR-4743-3p	
hsa-miR-4743-5p				7733.0							hsa-miR-4743-5p	
hsa-miR-4744				784.0							hsa-miR-4744	
hsa-miR-4745-3p				6588.0							hsa-miR-4745-3p	
hsa-miR-4745-5p				16611.0							hsa-miR-4745-5p	
hsa-miR-4746-3p				7103.0							hsa-miR-4746-3p	
hsa-miR-4746-5p				3667.0							hsa-miR-4746-5p	
hsa-miR-4747-3p				4033.0							hsa-miR-4747-3p	
hsa-miR-4747-5p				3264.0							hsa-miR-4747-5p	
hsa-miR-4748				2567.0							hsa-miR-4748	
hsa-miR-4749-3p				5394.0							hsa-miR-4749-3p	
hsa-miR-4749-5p				5771.0							hsa-miR-4749-5p	
hsa-miR-4750-3p				13209.0							hsa-miR-4750-3p	
hsa-miR-4750-5p				16776.0							hsa-miR-4750-5p	
hsa-miR-4751				4305.0							hsa-miR-4751	
hsa-miR-4752				1457.0							hsa-miR-4752	
hsa-miR-4753-3p				1104.0							hsa-miR-4753-3p	
hsa-miR-4753-5p				1141.0							hsa-miR-4753-5p	
hsa-miR-4754				7256.0							hsa-miR-4754	
hsa-miR-4755-3p				11815.0							hsa-miR-4755-3p	
hsa-miR-4755-5p				11735.0							hsa-miR-4755-5p	
hsa-miR-4756-3p				1066.0							hsa-miR-4756-3p	
hsa-miR-4756-5p				2736.0							hsa-miR-4756-5p	
hsa-miR-4757-3p				1771.0							hsa-miR-4757-3p	
hsa-miR-4757-5p				2119.0							hsa-miR-4757-5p	
hsa-miR-4758-3p				5383.0							hsa-miR-4758-3p	
hsa-miR-4758-5p				10775.0							hsa-miR-4758-5p	
hsa-miR-4759				631.0							hsa-miR-4759	
hsa-miR-4760-3p				779.0							hsa-miR-4760-3p	
hsa-miR-4760-5p				907.0							hsa-miR-4760-5p	
hsa-miR-4761-3p				700.0							hsa-miR-4761-3p	
hsa-miR-4761-5p				1736.0							hsa-miR-4761-5p	
hsa-miR-4762-3p				4481.0							hsa-miR-4762-3p	
hsa-miR-4762-5p				5423.0							hsa-miR-4762-5p	
hsa-miR-4763-3p				16545.0							hsa-miR-4763-3p	
hsa-miR-4763-5p				13269.0							hsa-miR-4763-5p	
hsa-miR-4764-3p				1446.0							hsa-miR-4764-3p	
hsa-miR-4764-5p				1979.0							hsa-miR-4764-5p	
hsa-miR-4765				8520.0							hsa-miR-4765	
hsa-miR-4766-3p				276.0							hsa-miR-4766-3p	
hsa-miR-4766-5p				1235.0							hsa-miR-4766-5p	
hsa-miR-4767				11360.0							hsa-miR-4767	
hsa-miR-4768-3p				1525.0							hsa-miR-4768-3p	
hsa-miR-4768-5p				2329.0							hsa-miR-4768-5p	
hsa-miR-4769-3p				6488.0							hsa-miR-4769-3p	
hsa-miR-4769-5p				3486.0							hsa-miR-4769-5p	
hsa-miR-4770				942.0							hsa-miR-4770	
hsa-miR-4771				846.0							hsa-miR-4771	
hsa-miR-4772-3p				19222.0							hsa-miR-4772-3p	
hsa-miR-4772-5p				17464.0							hsa-miR-4772-5p	
hsa-miR-4773				1255.0							hsa-miR-4773	
hsa-miR-4774-3p				1427.0							hsa-miR-4774-3p	
hsa-miR-4774-5p				1014.0							hsa-miR-4774-5p	
hsa-miR-4775				1582.0							hsa-miR-4775	
hsa-miR-4776-3p				3257.0							hsa-miR-4776-3p	
hsa-miR-4776-5p				1972.0							hsa-miR-4776-5p	
hsa-miR-4777-3p				817.0							hsa-miR-4777-3p	
hsa-miR-4777-5p				338.0							hsa-miR-4777-5p	
hsa-miR-4778-3p				1340.0							hsa-miR-4778-3p	
hsa-miR-4778-5p				1069.0							hsa-miR-4778-5p	
hsa-miR-4779				794.0							hsa-miR-4779	
hsa-miR-4780				5495.0							hsa-miR-4780	
hsa-miR-4781-3p				1092.0							hsa-miR-4781-3p	
hsa-miR-4781-5p				2595.0							hsa-miR-4781-5p	
hsa-miR-4782-3p				2308.0							hsa-miR-4782-3p	
hsa-miR-4782-5p				3359.0							hsa-miR-4782-5p	
hsa-miR-4783-3p				15446.0							hsa-miR-4783-3p	
hsa-miR-4783-5p				30129.0							hsa-miR-4783-5p	
hsa-miR-4784				12419.0							hsa-miR-4784	
hsa-miR-4785				23753.0							hsa-miR-4785	
hsa-miR-4786-3p				5019.0							hsa-miR-4786-3p	
hsa-miR-4786-5p				7199.0							hsa-miR-4786-5p	
hsa-miR-4787-3p				13059.0							hsa-miR-4787-3p	
hsa-miR-4787-5p				24728.0							hsa-miR-4787-5p	
hsa-miR-4788				2829.0							hsa-miR-4788	
hsa-miR-4789-3p				1271.0							hsa-miR-4789-3p	
hsa-miR-4789-5p				87956.0							hsa-miR-4789-5p	
hsa-miR-4790-3p				875.0							hsa-miR-4790-3p	
hsa-miR-4790-5p				634.0							hsa-miR-4790-5p	
