sample	length	read_count
CD14_S3	64	435710
CD14_S3	65	133023
CD14_S3	66	158001
CD14_S3	67	118141
CD14_S3	68	289534
CD14_S3	69	443664
CD14_S3	70	205880
CD14_S3	71	51402
CD14_S3	72	1775611
CD14_S3	73	32615
CD14_S3	74	33146
CD14_S3	75	16196
CD14_S3	76	60481
CD14_S3	77	28457
CD14_S3	78	11683
CD14_S3	79	22791
CD14_S3	80	5141
CD14_S3	81	1612
CD14_S3	82	2059
CD14_S3	83	2182
CD14_S3	84	3658
CD14_S3	85	5782
CD14_S3	86	2142
CD14_S3	87	2031
CD14_S3	88	1805
CD14_S3	89	9126
CD14_S3	90	2581
CD14_S3	91	4546
CD14_S3	92	2474
CD14_S3	93	1754
CD14_S3	94	3070
CD14_S3	95	2714
CD14_S3	96	1166
CD14_S3	97	1198
CD14_S3	98	1148
CD14_S3	99	992
CD14_S3	100	644053
CD14_S4	12	181
CD14_S4	13	6683
CD14_S4	14	40673
CD14_S4	15	103131
CD14_S4	16	148659
CD14_S4	17	239157
CD14_S4	18	352858
CD14_S4	19	286243
CD14_S4	20	128533
CD14_S4	21	97648
CD14_S4	22	77206
CD14_S4	23	120288
CD14_S4	24	157090
CD14_S4	25	147558
CD14_S4	26	141492
CD14_S4	27	94135
CD14_S4	28	166891
CD14_S4	29	682957
CD14_S4	30	218771
CD14_S4	31	98657
CD14_S4	32	117511
CD14_S4	33	289575
CD14_S4	34	166134
CD14_S4	35	62048
CD14_S4	36	51363
CD14_S4	37	239531
CD14_S4	38	72052
CD14_S4	39	83978
CD14_S4	40	117150
CD14_S4	41	63757
CD14_S4	42	47048
CD14_S4	43	61905
CD14_S4	44	110877
CD14_S4	45	79150
CD14_S4	46	135046
CD14_S4	47	55799
CD14_S4	48	29571
CD14_S4	49	21035
CD14_S4	50	18303
CD14_S4	51	52299
CD14_S4	52	15647
CD14_S4	53	20860
CD14_S4	54	23438
CD14_S4	55	17077
CD14_S4	56	15160
CD14_S4	57	29077
CD14_S4	58	51138
CD14_S4	59	41330
CD14_S4	60	229975
CD14_S4	61	154621
CD14_S4	62	1248731
CD14_S4	63	1969538
CD14_S4	64	905896
CD14_S4	65	283760
