sample	length	read_count
CD56_S1	100	797087
CD56_S2	11	4
CD56_S2	12	195
CD56_S2	13	10058
CD56_S2	14	53124
CD56_S2	15	120877
CD56_S2	16	174403
CD56_S2	17	235272
CD56_S2	18	269407
CD56_S2	19	213985
CD56_S2	20	119018
CD56_S2	21	109886
CD56_S2	22	108379
CD56_S2	23	171346
CD56_S2	24	184059
CD56_S2	25	182108
CD56_S2	26	116159
CD56_S2	27	157448
CD56_S2	28	299505
CD56_S2	29	1098924
CD56_S2	30	430880
CD56_S2	31	179751
CD56_S2	32	210260
CD56_S2	33	200634
CD56_S2	34	418793
CD56_S2	35	76617
CD56_S2	36	91624
CD56_S2	37	164181
CD56_S2	38	145926
CD56_S2	39	160599
CD56_S2	40	182695
CD56_S2	41	83845
CD56_S2	42	65573
CD56_S2	43	85435
CD56_S2	44	131807
CD56_S2	45	113144
CD56_S2	46	99838
CD56_S2	47	55685
CD56_S2	48	29338
CD56_S2	49	21744
CD56_S2	50	27202
CD56_S2	51	78801
CD56_S2	52	19910
CD56_S2	53	23097
CD56_S2	54	28892
CD56_S2	55	24460
CD56_S2	56	17760
CD56_S2	57	37061
CD56_S2	58	40285
CD56_S2	59	50443
CD56_S2	60	149693
CD56_S2	61	101508
CD56_S2	62	676891
CD56_S2	63	1596157
CD56_S2	64	303698
CD56_S2	65	295448
CD56_S2	66	259281
CD56_S2	67	230236
CD56_S2	68	615799
CD56_S2	69	612183
CD56_S2	70	308243
CD56_S2	71	93251
CD56_S2	72	1046373
CD56_S2	73	54390
CD56_S2	74	37389
CD56_S2	75	38073
CD56_S2	76	86751
CD56_S2	77	93084
CD56_S2	78	33715
CD56_S2	79	43268
CD56_S2	80	13060
CD56_S2	81	6450
CD56_S2	82	6833
CD56_S2	83	5736
CD56_S2	84	7926
CD56_S2	85	5986
CD56_S2	86	3694
CD56_S2	87	9260
CD56_S2	88	4750
CD56_S2	89	11478
CD56_S2	90	7476
CD56_S2	91	7712
CD56_S2	92	4984
CD56_S2	93	2552
CD56_S2	94	3361
CD56_S2	95	2990
CD56_S2	96	2009
CD56_S2	97	1567
CD56_S2	98	1461
CD56_S2	99	1431
CD56_S2	100	701111
CD56_S3	11	1
CD56_S3	12	74
CD56_S3	13	5797
CD56_S3	14	29891
CD56_S3	15	74221
CD56_S3	16	114895
CD56_S3	17	176626
CD56_S3	18	215930
CD56_S3	19	168938
CD56_S3	20	80697
CD56_S3	21	64962
CD56_S3	22	55734
CD56_S3	23	92624
CD56_S3	24	104875
CD56_S3	25	92853
CD56_S3	26	62469
CD56_S3	27	84446
CD56_S3	28	205932
CD56_S3	29	771501
CD56_S3	30	245889
CD56_S3	31	112764
CD56_S3	32	150286
CD56_S3	33	107353
CD56_S3	34	81522
CD56_S3	35	41358
CD56_S3	36	55556
CD56_S3	37	99212
CD56_S3	38	111331
CD56_S3	39	149540
CD56_S3	40	209178
CD56_S3	41	72290
CD56_S3	42	56047
CD56_S3	43	72709
CD56_S3	44	110303
CD56_S3	45	110528
CD56_S3	46	86959
CD56_S3	47	55146
CD56_S3	48	25260
CD56_S3	49	20368
CD56_S3	50	23504
CD56_S3	51	100673
CD56_S3	52	18579
CD56_S3	53	23406
CD56_S3	54	31578
CD56_S3	55	22609
CD56_S3	56	16561
CD56_S3	57	31513
CD56_S3	58	48452
CD56_S3	59	44046
CD56_S3	60	203249
CD56_S3	61	122689
CD56_S3	62	1172812
CD56_S3	63	2464269
CD56_S3	64	896202
CD56_S3	65	270562
CD56_S3	66	381973
CD56_S3	67	255400
CD56_S3	68	523411
CD56_S3	69	778113
CD56_S3	70	276619
CD56_S3	71	92203
CD56_S3	72	1314689
CD56_S3	73	70247
CD56_S3	74	53355
CD56_S3	75	50016
CD56_S3	76	133722
CD56_S3	77	102097
CD56_S3	78	46417
CD56_S3	79	40851
CD56_S3	80	12922
CD56_S3	81	5623
CD56_S3	82	5225
CD56_S3	83	5426
CD56_S3	84	7203
CD56_S3	85	7031
CD56_S3	86	4800
CD56_S3	87	6433
CD56_S3	88	4469
CD56_S3	89	20196
CD56_S3	90	9499
CD56_S3	91	13380
CD56_S3	92	5827
CD56_S3	93	2737
CD56_S3	94	3435
CD56_S3	95	4205
CD56_S3	96	1801
CD56_S3	97	1702
CD56_S3	98	2127
CD56_S3	99	1611
CD56_S3	100	477564
CD56_S4	12	70
CD56_S4	13	4589
CD56_S4	14	23919
CD56_S4	15	57795
CD56_S4	16	89436
CD56_S4	17	131550
CD56_S4	18	165204
CD56_S4	19	135621
CD56_S4	20	72106
CD56_S4	21	63674
CD56_S4	22	58910
CD56_S4	23	94997
CD56_S4	24	109016
CD56_S4	25	114186
CD56_S4	26	63227
CD56_S4	27	99077
CD56_S4	28	230351
CD56_S4	29	987566
CD56_S4	30	310764
CD56_S4	31	132941
CD56_S4	32	151300
CD56_S4	33	112687
CD56_S4	34	94962
CD56_S4	35	46881
CD56_S4	36	61420
CD56_S4	37	103375
CD56_S4	38	140638
CD56_S4	39	170474
CD56_S4	40	222136
CD56_S4	41	84994
CD56_S4	42	65689
CD56_S4	43	89662
CD56_S4	44	104435
CD56_S4	45	127732
CD56_S4	46	97086
CD56_S4	47	71456
CD56_S4	48	33549
CD56_S4	49	24332
CD56_S4	50	31412
CD56_S4	51	123739
CD56_S4	52	27897
CD56_S4	53	33482
CD56_S4	54	44456
CD56_S4	55	30439
CD56_S4	56	23754
CD56_S4	57	56004
CD56_S4	58	66183
CD56_S4	59	63663
CD56_S4	60	288153
CD56_S4	61	170526
CD56_S4	62	1418721
CD56_S4	63	2702822
CD56_S4	64	816153
CD56_S4	65	394810
CD56_S4	66	463956
CD56_S4	67	346568
CD56_S4	68	982796
CD56_S4	69	1227705
CD56_S4	70	450615
CD56_S4	71	139291
CD56_S4	72	1617933
CD56_S4	73	122358
CD56_S4	74	110355
CD56_S4	75	109975
CD56_S4	76	238471
CD56_S4	77	164593
CD56_S4	78	71645
CD56_S4	79	69292
CD56_S4	80	20293
CD56_S4	81	9089
CD56_S4	82	9551
CD56_S4	83	10170
CD56_S4	84	13823
CD56_S4	85	11553
CD56_S4	86	7040
CD56_S4	87	11438
CD56_S4	88	8895
CD56_S4	89	41152
CD56_S4	90	16328
CD56_S4	91	19911
CD56_S4	92	11548
CD56_S4	93	5322
CD56_S4	94	7317
CD56_S4	95	10055
CD56_S4	96	3229
CD56_S4	97	2641
CD56_S4	98	3515
CD56_S4	99	2810
CD56_S4	100	496582
