QC_STATUS	CD14_S2
LOW_PHRED	36716
LOW_COMLPEXITY	9188
LENGTH_SHORTER_THAN_18	1683253
ADAPTER_NOT_DETECTED	34485142
ADAPTER_REMOVED_LENGTH_OK	0
