LENGTH	CD14_S2
0	22
1	193
2	45
3	19
4	32
5	40
6	88
7	2392
8	4879
9	17565
10	70106
11	106292
12	128357
13	177487
14	208688
15	216767
16	361817
17	392149
18	5736253
19	8418605
20	20372503
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
