QC_STATUS	CD4_S2
LOW_PHRED	27135
LOW_COMLPEXITY	3762
LENGTH_SHORTER_THAN_18	1300817
ADAPTER_NOT_DETECTED	28567959
ADAPTER_REMOVED_LENGTH_OK	0
