LENGTH	CD4_S2
0	113
1	577
2	235
3	139
4	149
5	146
6	136
7	10952
8	13899
9	23995
10	59073
11	108306
12	124700
13	140339
14	154704
15	158973
16	193967
17	312828
18	4293350
19	6708531
20	17594561
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
