Leading logFC dim 1	Leading logFC dim 2
1	0.705032303155227	-0.284324028838724
2	-1.09567148512365	-0.0806770558501189
3	0.66804770750623	-0.204946070757225
4	0.484705492579096	-0.325219577742123
5	-0.0824375173004315	-0.342686478412146
6	-0.842304938278905	-0.143837298781854
7	0.308509646288654	0.520261672193165
8	0.0130903506180934	0.680036068656838
9	-0.85047686683371	-0.0357294311007268
10	0.178608577424798	0.610679393539711
11	0.350721064403988	-0.235136317404705
12	-0.0247739609822063	0.550232124726938
13	-0.766257568251129	-0.263434029545133
14	0.352553313239251	-0.156082620770213
15	0.218479980799268	-0.0495274859168976
16	0.382173900755429	-0.239608863996787
