Leading logFC dim 1	Leading logFC dim 2
1	-0.991018399755148	-0.207611307884676
2	-0.0885525944358607	-0.409609938970901
3	-0.885244819416865	0.263587694800432
4	-0.0480915344741102	0.158577432356926
5	-0.552583454444587	0.223244509305234
6	-0.817107600749469	-0.239510843368013
7	0.219377664979478	-0.710184106872415
8	1.1755273586315	0.429898706909245
9	1.86371736710604	-0.297776161475836
10	1.30331291676155	0.0873118991703648
11	-0.208073078828075	-0.572692757604956
12	0.826866142163617	0.713057079199699
13	-0.0688219900439012	-0.790820989596216
14	-0.436097057166008	0.676733064565613
15	-0.464876534656529	0.302468600667502
16	-0.828334385671629	0.373327118797997
