CD4_S2	CD56_S2	CD4_S3	CD56_S3	CD19_S3	CD19_S2	CD56_S1	CD14_S3	CD14_S1	CD14_S2	CD19_S1	CD14_S4	CD4_S1	CD4_S4	CD56_S4	CD19_S4
CD4_S2	-3.09427264721031	-0.253115596270136	-1.85711074771164	0.26099129183732	-0.750987187462023	-1.62580802550836	0.306858188254647	2.4114908338281	3.43317935991718	2.516396797485	-0.212651729152399	1.84326109890899	-0.60499639047405	-0.69923499180921	-0.539234731552027	-1.13476552308107
CD56_S2	-0.253115596270136	-1.11563401146671	0.237728486156906	-0.233412028180675	0.298513715016254	-0.286977922799576	-0.792189379104371	0.469143787474929	0.495594887057218	0.282729482306185	-0.0517295462425083	0.707829833271786	-0.557262740667907	0.476422304534827	-0.193185345331499	0.515544074245281
CD4_S3	-1.85711074771164	0.237728486156906	-2.6388910841567	-0.0627804467348014	-1.21239037982898	-1.13176066469355	0.999656450131252	1.79016579363653	3.13688019888219	2.19758729128076	0.0317863158226497	1.34194601531058	0.303312286565028	-0.860329546092559	-0.946973184351455	-1.32882678421621
CD56_S3	0.26099129183732	-0.233412028180675	-0.0627804467348014	-1.12252807241326	-0.0663293580094184	0.471643192917963	-0.152992009953703	0.016159658899048	0.555440808430004	0.234051278600743	0.479859821847463	0.0346640540444676	0.317053856015853	-0.0887587383503374	-0.693407812792273	0.0503445038416122
CD19_S3	-0.750987187462023	0.298513715016254	-1.21239037982898	-0.0663293580094184	-1.51586450787856	-0.873402560464425	0.903700679118252	1.03669529318178	1.93651320394049	1.50877294965679	-0.598030625293807	0.749597750677	0.613312922101169	-0.355291260796689	-0.637920564315354	-1.03689006964249
CD19_S2	-1.62580802550836	-0.286977922799576	-1.13176066469355	0.471643192917963	-0.873402560464425	-2.42563159928104	0.292911105191842	2.06470164402062	2.86715084473691	2.01121801158912	-1.06063226064357	1.48828216874937	-0.0412134848724	-0.256046909617571	-0.213738102166114	-1.2806954371592
CD56_S1	0.306858188254647	-0.792189379104371	0.999656450131252	-0.152992009953703	0.903700679118252	0.292911105191842	-1.90667894106894	0.223894048815634	-0.956580808772025	-0.367719623643528	-0.245504564370166	0.611723971365165	-1.01023392731673	0.938968959705394	0.284295400626497	0.869890451020791
CD14_S3	2.4114908338281	0.469143787474929	1.79016579363653	0.016159658899048	1.03669529318178	2.06470164402062	0.223894048815634	-3.5750397796337	-3.94360334571792	-2.9685271575411	0.81610203253762	-2.59281901248803	0.869981945534541	0.610618100114058	0.8549832630818	1.91605289425609
CD14_S1	3.43317935991718	0.495594887057218	3.13688019888219	0.555440808430005	1.9365132039405	2.86715084473691	-0.956580808772025	-3.94360334571792	-7.79718522068627	-4.71885266897099	0.200641452917191	-2.43694971934427	-0.0247620058341025	2.08714552283871	2.14465316110377	3.0207343295019
CD14_S2	2.516396797485	0.282729482306185	2.19758729128076	0.234051278600743	1.50877294965679	2.01121801158912	-0.367719623643528	-2.9685271575411	-4.71885266897099	-3.9803562840649	0.908021543635156	-2.11595909908306	0.278599955454844	0.989587091295135	1.19910995012696	2.02534048187289
CD19_S1	-0.212651729152399	-0.0517295462425083	0.0317863158226497	0.479859821847463	-0.598030625293807	-1.06063226064357	-0.245504564370166	0.81610203253762	0.200641452917191	0.908021543635156	-2.26251391919308	1.05143672060551	-0.34044521581839	0.866845702996731	0.512058868746507	-0.0952445983948986
CD14_S4	1.84326109890899	0.707829833271786	1.34194601531058	0.0346640540444676	0.749597750677	1.48828216874937	0.611723971365165	-2.59281901248803	-2.43694971934427	-2.11595909908306	1.05143672060551	-2.91626862006739	1.10823862987597	-0.293451663819391	0.537186286096725	0.881281585896593
CD4_S1	-0.60499639047405	-0.557262740667907	0.303312286565028	0.317053856015853	0.613312922101169	-0.0412134848724	-1.01023392731673	0.869981945534541	-0.0247620058341025	0.278599955454844	-0.34044521581839	1.10823862987597	-2.360661769472	0.604617298476414	0.478043671441161	0.366414968990604
CD4_S4	-0.69923499180921	0.476422304534827	-0.860329546092559	-0.0887587383503374	-0.355291260796689	-0.256046909617571	0.938968959705394	0.610618100114058	2.08714552283871	0.989587091295135	0.866845702996731	-0.293451663819391	0.604617298476414	-2.11376076797435	-0.593559961708144	-1.31377113979302
CD56_S4	-0.539234731552027	-0.193185345331499	-0.946973184351455	-0.693407812792273	-0.637920564315354	-0.213738102166114	0.284295400626497	0.8549832630818	2.14465316110377	1.19910995012696	0.512058868746507	0.537186286096725	0.478043671441161	-0.593559961708144	-1.55993757146274	-0.632373327543815
CD19_S4	-1.13476552308107	0.515544074245281	-1.32882678421621	0.0503445038416122	-1.03689006964249	-1.2806954371592	0.869890451020791	1.91605289425609	3.0207343295019	2.02534048187289	-0.0952445983948986	0.881281585896593	0.366414968990604	-1.31377113979302	-0.632373327543815	-2.82303640979505
