QC_STATUS	CD19_S3
LOW_PHRED	30936
LOW_COMLPEXITY	3565
LENGTH_SHORTER_THAN_18	1523216
ADAPTER_NOT_DETECTED	29269218
ADAPTER_REMOVED_LENGTH_OK	0
