LENGTH	CD19_S2
0	232
1	789
2	217
3	165
4	136
5	147
6	152
7	11950
8	17729
9	28876
10	69527
11	101772
12	128945
13	136183
14	136974
15	158687
16	209377
17	298271
18	3524161
19	6257602
20	17356717
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
