QC_STATUS	CD19_S2
LOW_PHRED	28547
LOW_COMLPEXITY	6785
LENGTH_SHORTER_THAN_18	1296819
ADAPTER_NOT_DETECTED	27106458
ADAPTER_REMOVED_LENGTH_OK	0
