DISTINCT_MIRNA_HAIRPINS_ACCUMULATED_COUNT	CD19_S2
0	0
1	17
2	22
3	22
4	28
5	32
6	33
7	33
8	33
9	33
10	34
11	34
12	38
13	41
14	42
15	42
16	48
17	52
18	78
19	78
20	81
21	81
22	81
23	99
24	119
25	123
26	148
27	152
28	157
29	157
30	177
31	177
32	202
33	210
34	210
35	241
36	245
37	245
38	276
39	286
40	355
41	355
42	356
43	356
44	356
45	356
46	356
47	408
48	449
49	499
50	539
51	565
52	591
53	591
54	680
55	680
56	716
57	752
58	846
59	862
60	862
61	918
62	1096
63	1096
64	1109
65	1109
66	1109
67	1109
68	1109
69	1135
70	1197
71	1229
72	1229
73	1238
74	1238
75	1574
76	1574
77	1589
78	2023
79	2023
80	2023
81	2086
82	2122
83	2172
84	2279
85	2279
86	2279
87	2292
88	2302
89	2302
90	2424
91	2962
92	3092
93	3336
94	3358
95	3368
96	3543
97	3543
98	3573
99	3625
100	3626
101	3626
102	4090
103	4215
104	4502
105	4932
106	5237
107	5299
108	5299
109	5413
110	5797
111	5800
112	5840
113	6340
114	6340
115	6391
116	6391
117	6651
118	6651
119	6651
120	6651
121	6651
122	6651
123	6651
124	6651
125	6651
126	6700
127	6700
128	6951
129	6951
130	6951
131	7141
132	7195
133	7195
134	7813
135	7813
136	7813
137	7813
138	8243
139	8243
140	8390
141	8565
142	8816
143	9389
144	9596
145	9596
146	10688
147	14023
148	14428
149	14520
150	14520
151	14520
152	14732
153	16400
154	16414
155	16414
156	16516
157	17141
158	17837
159	18397
160	18397
161	18527
162	19318
163	19561
164	21028
165	22750
166	22750
167	24214
168	24750
169	24920
170	24920
171	25566
172	27639
173	27890
174	29236
175	29298
176	30551
177	30656
178	30768
179	31280
180	31802
181	31802
182	31802
183	31802
184	31802
185	34380
186	34961
187	35616
188	35616
189	35899
190	36172
191	36172
192	36597
193	38225
194	38491
195	38491
196	38491
197	38491
198	38491
199	38491
200	38491
201	38491
202	38491
203	38491
204	38491
205	38491
206	38491
