LENGTH	CD56_S4
0	29
1	138
2	52
3	50
4	24
5	41
6	69
7	6376
8	10177
9	15058
10	42033
11	75296
12	96644
13	114978
14	122933
15	141516
16	216984
17	355039
18	3993866
19	6581688
20	18170386
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
