QC_STATUS	CD56_S4
LOW_PHRED	30004
LOW_COMLPEXITY	2774
LENGTH_SHORTER_THAN_18	1195657
ADAPTER_NOT_DETECTED	28714942
ADAPTER_REMOVED_LENGTH_OK	0
