DISTINCT_MIRNA_HAIRPINS_ACCUMULATED_COUNT	CD56_S4
556	1297762
557	1297762
558	1306225
559	1321337
560	1321688
561	1326736
562	1330644
563	1349623
564	1379410
565	1383763
566	1383896
567	1386617
568	1401601
569	1405698
570	1412646
571	1420642
572	1420642
573	1420642
574	1420642
575	1421747
576	1452929
577	1469510
578	1483102
579	1483111
580	1498442
581	1505514
582	1539890
583	1545912
584	1550170
585	1603363
586	1607723
587	1614848
588	1631569
589	1639892
590	1646274
591	1650677
592	1657296
593	1687231
594	1696940
595	1696940
596	1698675
597	1704601
598	1716164
599	1718621
600	1720820
601	1726382
602	1746841
603	1747299
604	1774199
605	1779962
606	1786971
607	1822856
608	1904487
609	1932217
610	1969455
611	1976252
612	1976510
613	2001076
614	2003336
615	2007208
616	2007964
617	2024855
618	2064846
619	2064846
620	2067478
621	2067783
622	2071495
623	2074789
624	2100900
625	2139548
626	2161524
627	2172400
628	2177220
629	2215616
630	2254791
631	2254791
632	2256905
633	2268130
634	2270899
635	2275669
636	2342439
637	2353930
638	2353930
639	2361416
640	2389347
641	2434294
642	2434294
643	2434294
644	2434294
645	2434294
646	2434294
647	2444646
648	2571437
649	2601178
650	2626284
651	2629683
652	2641322
653	2641322
654	2651518
655	2685214
656	2689804
657	2720145
658	2731217
659	2749679
660	2790084
661	2790084
662	2795698
663	2830916
664	2844212
665	2860999
666	2863256
667	2902577
668	2904829
669	2953270
670	2962335
671	2963786
672	2986248
673	3019456
674	3028724
675	3040362
676	3065966
677	3065966
678	3079644
679	3160975
680	3160975
681	3181511
682	3183518
683	3193719
684	3194956
685	3206289
686	3223202
687	3223202
688	3223202
689	3223202
690	3254360
691	3264796
692	3282428
693	3301416
694	3306335
695	3320101
696	3354292
697	3381865
698	3387946
699	3403369
700	3454647
701	3461820
702	3473115
703	3512979
704	3524622
705	3579433
706	3579433
707	3595208
708	3609024
709	3610825
710	3610878
711	3612333
712	3621878
713	3629354
714	3647006
715	3669603
716	3695123
717	3793842
718	3831119
719	3871656
720	3886788
721	3886788
722	3948131
723	3966884
724	3973018
725	3980419
726	4011252
727	4141632
728	4161884
729	4212342
730	4255855
731	4265685
732	4342534
733	4346294
734	4358195
735	4365087
736	4411163
737	4435643
738	4435643
739	4435643
740	4437363
741	4438470
742	4440936
743	4440936
744	4520016
745	4522158
746	4522158
747	4689667
748	4753917
749	4762642
750	4765508
751	4771944
752	4772420
753	4851570
754	4873723
755	4976233
756	5015685
757	5021388
758	5021388
759	5074346
760	5098375
761	5099325
762	5108769
763	5171567
764	5175142
765	5226014
766	5324979
767	5370332
768	5464836
769	5472261
770	5472261
771	5499449
772	5515409
773	5530921
774	5540940
775	5679465
776	5714676
777	5716937
778	5721387
779	5763335
780	5794449
781	5810638
782	5917422
783	6087773
784	6087773
785	6094440
786	6139439
787	6184340
788	6220861
789	6252726
790	6297670
791	6480735
792	6484444
793	6663470
794	6785398
795	6852600
796	6869659
797	6873398
798	6937496
799	6952509
800	6952545
801	7006297
802	7041209
803	7049615
804	7070569
805	7169142
806	7191237
807	7196865
808	7196865
809	7228250
810	7247605
811	7271816
812	7305387
813	7347684
814	7359271
815	7378178
816	7478276
817	7478276
818	7484305
819	7519569
820	7521912
821	7526645
822	7526645
823	7604429
824	7649165
825	7667138
826	7798074
827	7813283
828	7892635
829	7892635
830	7921014
831	7956514
832	8009671
833	8019009
834	8287732
835	8362463
836	8443467
837	8469666
838	8484158
839	8505621
840	8523506
841	8532989
842	8560470
843	8569641
844	8612643
845	8622391
846	8628291
847	8706221
848	8728208
849	8730430
850	8833726
851	8881140
852	8961719
853	8965328
854	9015837
855	9057107
856	9060460
857	9155055
858	9227739
859	9228758
860	9271942
861	9329122
862	9382177
863	9498393
864	9498393
865	9774809
866	9925356
867	9994333
868	9994333
869	10018406
870	10019745
871	10115465
872	10126770
873	10278235
874	10685494
875	10717273
876	10811974
877	11067713
878	11087746
879	11274393
880	11279817
881	11378623
882	11399495
883	11469765
884	11570692
885	11579066
886	11635763
887	11674994
888	11774006
889	11778896
890	11786122
891	11867951
892	12078613
893	12141706
894	12143266
895	12150321
896	12316419
897	12345766
898	12421695
899	12429835
900	12463283
901	12688908
902	12713339
903	13081165
904	13104411
905	13143987
906	13278082
907	13377371
908	13428697
909	13535099
910	13604291
911	13634805
912	13848375
913	13882826
914	13959339
915	14016315
916	14017844
917	14026066
918	14103510
919	14230302
920	14230302
921	14330321
922	14330321
923	14476900
924	14517209
925	14655982
926	14680529
927	14861483
928	14986421
929	14986421
930	15089389
931	15189037
932	15570350
933	15711813
934	15809778
935	15841104
936	16284095
937	16514089
938	16862009
939	16997897
940	16997897
941	17217289
942	17397549
943	17411022
944	17436238
945	17473741
946	17615772
947	18213508
948	18260315
949	18398216
950	18638780
951	18695604
952	18797966
953	19062824
954	19112242
955	19260713
956	19288757
957	19474598
958	19486177
959	19823228
960	19952275
961	20280907
962	20313661
963	20489261
964	20497886
965	20501452
966	20666670
967	20679355
968	20751298
969	21064184
970	21071543
971	21094738
972	21259411
973	21411396
974	21598897
975	21598897
976	21634153
977	21678944
978	21725579
979	21842522
980	21918884
981	21963857
982	22102617
983	22265179
984	22482354
985	22578596
986	22785042
987	22941741
988	23660576
989	23941834
990	24395713
991	24500865
992	24590975
993	24677106
994	24724388
995	24966309
996	25088590
997	25236282
998	25503281
999	25570008
1000	25641069
1001	25949717
1002	26126173
1003	26321586
1004	26375250
1005	26467705
1006	26536873
1007	27077902
1008	27094534
1009	27116863
1010	27311453
1011	27520142
1012	27743187
1013	27862962
1014	28172658
1015	28673895
1016	28894477
1017	28900722
1018	29012564
1019	29058961
1020	29065219
1021	29216024
1022	29299963
1023	29309056
1024	29358684
1025	29358684
1026	29378340
1027	29378340
1028	29402348
1029	29443260
