LENGTH	CD56_S2
0	272
1	700
2	190
3	132
4	156
5	163
6	208
7	7052
8	11778
9	32668
10	96752
11	168935
12	198360
13	240121
14	252360
15	270665
16	373489
17	507057
18	5291289
19	6416882
20	18404951
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
