QC_STATUS	CD56_S2
LOW_PHRED	32446
LOW_COMLPEXITY	8192
LENGTH_SHORTER_THAN_18	2156713
ADAPTER_NOT_DETECTED	30076829
ADAPTER_REMOVED_LENGTH_OK	0
